trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,2.53,12.3,0.02,2.77,0.0343,0,16_25,,0.64,0.364
2,3,120_553,ERR_TooSlowInstantaneous,0,16.2,0.218,1.64,0.233,0,120_553,,0.217,N/A
3,4,28_109,OK,0.815,19.2,0.269,1.33,0.283,0,28_109,,0.256880734,0.808
4,5,4_5,OK,1.17,21.4,0.151,1.58,0.167,0,4_5,,0.8,0.446
5,6,11_12,OK,1.55,24,0.185,2.05,0.201,0,11_12,,0.916666667,0.728
6,7,11_35,OK,1.68,27.1,0.169,2.12,0.185,0,11_35,,0.314285714,0.317
7,8,3_8,OK,1.57,30.2,0.134,1.95,0.15,0,3_8,,0.375,0.204
8,9,7_15,OK,1.58,33.2,0.151,1.98,0.166,0,7_15,,0.466666667,0.385
9,10,1_9,OK,1.57,36.2,0.179,1.98,0.197,0,1_9,,0.111111111,0.111
10,11,10_19,ERR_TooSlowInstantaneous,0,39.2,0.175,1.74,0.185,0,10_19,,0.526315789,N/A
11,12,703_891,OK,1.48,42.2,0.0999,1.73,0.116,0,703_891,,0.789,0.894
12,13,1_17,OK,1.17,44.9,0.15,1.47,0.167,0,1_17,,0.058823529,0.321
13,14,291_491,OK,1.25,48.6,0.2,1.63,0.217,0,291_491,,0.592668024,0.91
14,15,10_13,OK,1.45,51.1,0.217,1.85,0.233,0,10_13,,0.769230769,0.6
15,16,1_6,OK,1.22,53.9,0.185,1.58,0.201,0,1_6,,0.166666667,0.278
16,17,1_9,OK,1.35,56.5,0.149,1.72,0.166,0,1_9,,0.111111111,0.419
17,18,10_19,OK,1.07,59.1,0.185,1.52,0.201,0,10_19,,0.526315789,0.529
18,19,10_13,OK,1.12,61.4,0.169,1.43,0.185,0,10_13,,0.769230769,0.531
19,20,28_109,OK,1.42,63.8,0.149,1.77,0.166,0,28_109,,0.256880734,0.703
20,21,16_25,OK,1.27,66.4,0.134,1.63,0.15,0,16_25,,0.64,0.653
21,22,7_15,OK,1.35,68.9,0.0171,1.52,0.0336,0,7_15,,0.466666667,0.544
22,23,11_12,OK,1.4,71.4,0.168,1.73,0.184,0,11_12,,0.916666667,0.525
23,24,1_17,ERR_FingerLifted,0,74,0.15,2.7,0.167,0,1_17,,0.058823529,N/A
24,25,120_553,OK,1.23,79.4,0.119,1.65,0.135,0,120_553,,0.217,0.857
25,26,11_35,OK,1.45,81.9,0.249,1.95,0.266,0,11_35,,0.314285714,0.404
26,27,1_6,OK,1.37,84.8,0.234,1.75,0.25,0,1_6,,0.166666667,0.287
27,28,4_5,OK,1.32,87.5,0.134,1.65,0.15,0,4_5,,0.8,0.386
28,29,3_8,OK,1.2,90.1,0.149,1.52,0.165,0,3_8,,0.375,0.221
29,30,291_491,OK,1.32,92.6,0.202,1.75,0.218,0,291_491,,0.592668024,0.901
30,31,703_891,OK,1.18,95.2,0.0847,1.52,0.102,0,703_891,,0.789,0.903
31,32,1_17,OK,1.13,97.4,0.118,1.48,0.134,0,1_17,,0.058823529,0.332
32,33,120_553,OK,1.16,101,0.136,1.5,0.151,0,120_553,,0.217,0.806
33,34,7_15,OK,1.13,104,0.152,1.45,0.168,0,7_15,,0.466666667,0.444
34,35,16_25,OK,1.27,107,0.2,1.67,0.217,0,16_25,,0.64,0.56
35,36,11_12,OK,1.2,109,0.335,1.77,0.351,0,11_12,,0.916666667,0.435
36,37,11_35,OK,1.17,112,0.2,1.5,0.217,0,11_35,,0.314285714,0.606
37,38,703_891,OK,1.22,114,0.269,1.68,0.285,0,703_891,,0.789,0.91
38,39,3_8,OK,1.35,118,0.285,1.82,0.301,0,3_8,,0.375,0.269
39,40,4_5,OK,1.22,121,0.218,1.58,0.235,0,4_5,,0.8,0.476
40,41,10_13,OK,1.2,123,0.333,1.63,0.35,0,10_13,,0.769230769,0.544
41,42,1_6,OK,1.33,126,0.168,1.68,0.184,0,1_6,,0.166666667,0.219
42,43,10_19,OK,1.2,128,0.0167,1.37,0.0332,0,10_19,,0.526315789,0.518
43,44,1_9,OK,1.08,130,0.216,1.47,0.233,0,1_9,,0.111111111,0.388
44,45,28_109,OK,1.38,133,0.202,1.77,0.218,0,28_109,,0.256880734,0.725
45,46,291_491,OK,1.1,136,0.269,1.55,0.285,0,291_491,,0.592668024,0.853
46,3,120_553,OK,1.12,139,0.268,1.58,0.285,0,120_553,,0.217,0.831
47,11,10_19,OK,1.32,141,0.201,1.7,0.218,0,10_19,,0.526315789,0.556
48,24,1_17,OK,1.35,144,0.151,1.65,0.168,0,1_17,,0.058823529,0.263
