trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,3,0.739,OK,2.47,10.8,0.283,2.85,0.3,0:258,0,0.739,0.739,0.757
2,5,0.167,OK,2.48,16.1,0.301,3.05,0.317,0:258,0,0.167,0.167,0.0972
3,6,0.111,OK,3.03,20.5,0.351,3.65,0.367,0:258,0,0.111,0.111,0.0972
4,7,0.059,OK,3.46,25.5,0.253,4.03,0.268,0:258,0,0.059,0.059,0.0944
5,8,0.834,OK,2.63,30.6,0.252,3.03,0.268,0:258,0,0.834,0.834,0.829
6,9,0.769,OK,2.93,34.7,0.202,3.27,0.218,0:258,0,0.769,0.769,0.787
7,10,0.378,OK,3.33,38.9,0.217,3.77,0.233,0:258,0,0.378,0.378,0.144
8,11,0.257,OK,3.13,43.7,0.203,3.55,0.217,0:258,0,0.257,0.257,0.0736
9,12,0.117,OK,3.05,48.3,0.185,3.37,0.202,0:258,0,0.117,0.117,0.0583
10,13,0.593,OK,2.57,52.9,0.15,2.97,0.167,0:258,0,0.593,0.593,0.504
11,14,0.475,OK,2.77,56.9,0.202,3.18,0.218,0:258,0,0.475,0.475,0.396
12,15,0.653,OK,2.43,61,0.168,2.83,0.184,0:258,0,0.653,0.653,0.604
13,16,0.928,OK,2.7,64.7,0.152,3.03,0.167,0:258,0,0.928,0.928,0.906
14,18,0.475,OK,3.02,70.5,0.25,3.55,0.268,0:258,0,0.475,0.475,0.385
15,19,0.506,OK,2.86,75.1,0.369,3.4,0.384,0:258,0,0.506,0.506,0.504
16,20,0.653,OK,2.75,79.5,0.267,3.33,0.283,0:258,0,0.653,0.653,0.608
17,21,0.593,OK,2.62,83.8,0.3,3.18,0.317,0:258,0,0.593,0.593,0.576
18,22,0.167,OK,3.25,88.1,0.284,3.72,0.3,0:258,0,0.167,0.167,0.0472
19,23,0.111,OK,2.96,92.9,0.269,3.47,0.285,0:258,0,0.111,0.111,0.0542
20,24,0.834,OK,2.58,97.4,0.236,3.03,0.252,0:258,0,0.834,0.834,0.882
21,25,0.739,OK,3.07,101,0.15,3.42,0.167,0:258,0,0.739,0.739,0.854
22,26,0.059,OK,2.9,106,0.234,3.33,0.25,0:258,0,0.059,0.059,0.0236
23,27,0.378,OK,2.33,110,0.234,2.72,0.25,0:258,0,0.378,0.378,0.232
24,28,0.117,OK,2.82,117,0.268,3.28,0.284,0:258,0,0.117,0.117,0.0736
25,29,0.769,OK,3.3,121,0.285,3.82,0.301,0:258,0,0.769,0.769,0.824
26,30,0.928,OK,2.48,126,0.301,3,0.316,0:258,0,0.928,0.928,0.942
27,31,0.323,OK,2.71,130,0.0343,3.05,0.0504,0:258,0,0.323,0.323,0.158
28,32,0.167,OK,2.55,135,0.25,3.02,0.266,0:258,0,0.167,0.167,0.0625
29,33,0.111,OK,2.43,141,0.235,2.83,0.252,0:258,0,0.111,0.111,0.0431
30,34,0.323,OK,2.18,145,0.166,2.57,0.183,0:258,0,0.323,0.323,0.175
31,35,0.653,OK,2.55,148,0.269,3.05,0.285,0:258,0,0.653,0.653,0.621
32,36,0.769,OK,2.96,154,0.27,3.35,0.286,0:258,0,0.769,0.769,0.807
33,37,0.257,OK,2.63,158,0.249,3,0.266,0:258,0,0.257,0.257,0.0958
34,38,0.378,OK,2.93,162,0.235,3.3,0.253,0:258,0,0.378,0.378,0.144
35,39,0.593,OK,2.3,167,0.183,2.6,0.2,0:258,0,0.593,0.593,0.575
36,40,0.059,OK,2.53,171,0.236,2.9,0.251,0:258,0,0.059,0.059,0.0208
37,41,0.475,OK,2.63,176,0.25,3.1,0.266,0:258,0,0.475,0.475,0.408
38,42,0.739,OK,2.88,180,0.202,3.35,0.218,0:258,0,0.739,0.739,0.785
39,43,0.928,OK,2.21,184,0.268,2.8,0.285,0:258,0,0.928,0.928,0.942
40,44,0.506,OK,2.35,188,0.199,2.72,0.216,0:258,0,0.506,0.506,0.51
41,45,0.834,OK,2.6,192,0.233,3.03,0.249,0:258,0,0.834,0.834,0.879
42,46,0.117,OK,2.67,197,0.167,3.02,0.183,0:258,0,0.117,0.117,0.05
43,2,0.323,OK,2.76,201,0.269,3.3,0.285,0:258,0,0.323,0.323,0.122
44,4,0.506,OK,2.98,205,0.233,3.33,0.25,0:258,0,0.506,0.506,0.496
45,17,0.257,OK,2.75,210,0.284,3.2,0.299,0:258,0,0.257,0.257,0.0806
