trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,4.53,10.2,0.253,4.97,0.268,0,16_25,,0.64,0.492
2,3,120_553,OK,4.41,17.2,0.219,4.83,0.234,0,120_553,,0.217,0.253
3,4,28_109,OK,3.53,23.4,0.368,4.08,0.385,0,28_109,,0.256880734,0.268
4,5,4_5,OK,2.91,28.4,0.269,3.4,0.285,0,4_5,,0.8,0.775
5,6,11_12,OK,2.37,32.9,0.302,2.85,0.319,0,11_12,,0.916666667,0.901
6,7,11_35,ERR_TooSlowInstantaneous,0,36.7,0.234,3.43,0.251,0,11_35,,0.314285714,N/A
7,8,3_8,OK,3.08,42,0.216,3.51,0.233,0,3_8,,0.375,0.397
8,9,7_15,OK,3.65,46.6,0.167,4.03,0.184,0,7_15,,0.466666667,0.5
9,10,1_9,OK,2.58,51.9,0.235,3.05,0.251,0,1_9,,0.111111111,0.149
10,11,10_19,OK,2.92,56.1,0.201,3.27,0.217,0,10_19,,0.526315789,0.549
11,12,703_891,OK,3.28,60.4,0.219,3.72,0.235,0,703_891,,0.789,0.751
12,13,1_17,OK,3.02,65.1,0.183,3.4,0.199,0,1_17,,0.058823529,0.149
13,14,291_491,OK,3.65,69.5,0.135,3.98,0.151,0,291_491,,0.592668024,0.554
14,15,10_13,OK,3.13,74.7,0.301,3.61,0.318,0,10_13,,0.769230769,0.738
15,16,1_6,OK,2.51,79.2,0.202,2.97,0.218,0,1_6,,0.166666667,0.125
16,17,1_9,OK,3.12,83.2,0.216,3.62,0.233,0,1_9,,0.111111111,0.0875
17,18,10_19,OK,2.87,87.8,0.169,3.22,0.184,0,10_19,,0.526315789,0.579
18,19,10_13,OK,4.01,92.2,0.152,4.47,0.168,0,10_13,,0.769230769,0.744
19,20,28_109,OK,2.85,97.8,0.186,3.28,0.202,0,28_109,,0.256880734,0.247
20,21,16_25,OK,3,102,0.234,3.48,0.251,0,16_25,,0.64,0.599
21,22,7_15,OK,2.32,106,0.134,2.68,0.15,0,7_15,,0.466666667,0.499
22,23,11_12,OK,2.5,110,0.266,3.07,0.282,0,11_12,,0.916666667,0.853
23,24,1_17,OK,2.85,114,0.15,3.3,0.167,0,1_17,,0.058823529,0.0653
24,25,120_553,OK,3.58,121,0.202,4.02,0.218,0,120_553,,0.217,0.19
25,26,11_35,ERR_FingerLifted,0,126,0.251,3.92,0.267,0,11_35,,0.314285714,N/A
26,27,1_6,ERR_InvalidAngle,0,130,0.0341,0.987,0.0506,0,1_6,,0.166666667,N/A
27,28,4_5,OK,2.76,136,0.337,3.39,0.354,0,4_5,,0.8,0.789
28,29,3_8,ERR_TooSlowInstantaneous,0,140,0.284,0.603,0.3,0,3_8,,0.375,N/A
29,30,291_491,OK,2.92,144,0.301,3.42,0.317,0,291_491,,0.592668024,0.561
30,31,703_891,OK,2.57,148,0.168,2.95,0.184,0,703_891,,0.789,0.774
31,32,1_17,OK,2.35,152,0.251,2.8,0.268,0,1_17,,0.058823529,0.0514
32,33,120_553,OK,2.83,156,0.253,3.37,0.267,0,120_553,,0.217,0.122
33,34,7_15,OK,2.42,160,0.285,2.92,0.301,0,7_15,,0.466666667,0.493
34,35,16_25,OK,2.82,164,0.218,3.32,0.234,0,16_25,,0.64,0.593
35,36,11_12,OK,2.17,169,0.185,2.65,0.201,0,11_12,,0.916666667,0.907
36,37,11_35,OK,2.45,172,0.0181,2.68,0.0339,0,11_35,,0.314285714,0.582
37,38,703_891,OK,2.68,178,0.268,3.15,0.284,0,703_891,,0.789,0.843
38,39,3_8,OK,3.17,182,0.216,3.57,0.233,0,3_8,,0.375,0.343
39,40,4_5,OK,2.52,187,0.249,3.03,0.266,0,4_5,,0.8,0.856
40,41,10_13,OK,2.11,191,0.252,2.63,0.268,0,10_13,,0.769230769,0.794
41,42,1_6,OK,2.15,194,0.217,2.6,0.233,0,1_6,,0.166666667,0.114
42,43,10_19,OK,2.08,198,0.216,2.55,0.234,0,10_19,,0.526315789,0.608
43,44,1_9,OK,1.72,202,0.2,2.18,0.216,0,1_9,,0.111111111,0.843
44,45,28_109,OK,2.4,205,0.184,2.85,0.2,0,28_109,,0.256880734,0.249
45,7,11_35,OK,2.76,210,0.251,3.26,0.268,0,11_35,,0.314285714,0.196
46,26,11_35,OK,1.95,215,0.2,2.43,0.217,0,11_35,,0.314285714,0.267
47,27,1_6,OK,2.12,218,0.275,2.67,0.297,0,1_6,,0.166666667,0.165
48,29,3_8,OK,2.27,223,0.366,2.92,0.383,0,3_8,,0.375,0.321
49,46,291_491,OK,2.52,228,0.268,3,0.285,0,291_491,,0.592668024,0.574
