trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,1.83,10.1,0.253,2.15,0.268,0,16_25,,0.64,0.378
2,3,120_553,OK,1.78,13.3,0.216,2.11,0.233,0,120_553,,0.217,0.66
3,4,28_109,OK,1.6,16.7,0.15,1.8,0.167,0,28_109,,0.256880734,0.354
4,5,4_5,OK,1.56,19.6,0.151,1.85,0.167,0,4_5,,0.8,0.729
5,6,11_12,OK,1.55,22.6,0.2,1.97,0.217,0,11_12,,0.916666667,0.928
6,7,11_35,OK,1.73,25.6,0.134,2.18,0.15,0,11_35,,0.314285714,0.607
7,8,3_8,OK,1.72,28.8,0.117,1.95,0.133,0,3_8,,0.375,0.319
8,9,7_15,OK,1.61,32,0.185,1.87,0.2,0,7_15,,0.466666667,0.701
9,10,1_9,OK,1.83,35,0.184,2.1,0.199,0,1_9,,0.111111111,0.0514
10,11,10_19,OK,1.75,38.1,0.15,2.03,0.167,0,10_19,,0.526315789,0.932
11,12,703_891,OK,1.62,41.2,0.2,2,0.217,0,703_891,,0.789,0.8
12,13,1_17,OK,1.9,44.3,0.135,2.18,0.151,0,1_17,,0.058823529,0.00833
13,14,291_491,OK,1.98,47.6,0.25,2.37,0.266,0,291_491,,0.592668024,0.754
14,15,10_13,OK,1.7,51.3,0.0166,1.8,0.033,0,10_13,,0.769230769,0.339
15,16,1_6,OK,1.95,54.9,0.2,2.3,0.216,0,1_6,,0.166666667,0.0847
16,17,1_9,OK,1.67,59.5,0.285,2.05,0.302,0,1_9,,0.111111111,0.849
17,18,10_19,OK,1.78,64.5,0.268,2.18,0.284,0,10_19,,0.526315789,0.675
18,19,10_13,OK,1.48,67.7,0.151,1.73,0.168,0,10_13,,0.769230769,0.583
19,20,28_109,OK,1.5,70.7,0.2,1.88,0.217,0,28_109,,0.256880734,0.228
20,21,16_25,ERR_TooSlowInstantaneous,0,73.7,0.134,1.74,0.15,0,16_25,,0.64,N/A
21,22,7_15,OK,1.57,85.5,0.133,1.93,0.15,0,7_15,,0.466666667,0.622
22,23,11_12,OK,1.5,94.3,0.167,1.78,0.183,0,11_12,,0.916666667,0.936
23,24,1_17,OK,1.48,97.1,0.167,1.82,0.183,0,1_17,,0.058823529,0.0361
24,25,120_553,OK,1.75,100,0.183,2.03,0.2,0,120_553,,0.217,0.694
25,26,11_35,OK,1.7,103,0.117,1.92,0.133,0,11_35,,0.314285714,0.389
26,27,1_6,OK,1.72,106,0.167,1.95,0.184,0,1_6,,0.166666667,0.0278
27,28,4_5,OK,1.57,109,0.233,1.95,0.25,0,4_5,,0.8,0.964
28,29,3_8,OK,1.57,112,0.0834,1.83,0.0998,0,3_8,,0.375,0.688
29,30,291_491,OK,1.63,115,0.201,1.98,0.218,0,291_491,,0.592668024,0.492
30,31,703_891,OK,1.9,118,0.202,2.25,0.218,0,703_891,,0.789,0.358
31,32,1_17,OK,1.83,122,0.067,2.05,0.0843,0,1_17,,0.058823529,0.0236
32,33,120_553,ERR_InvalidAngle,0,126,0.167,1.52,0.183,0,120_553,,0.217,N/A
33,34,7_15,OK,1.97,130,0.15,2.23,0.166,0,7_15,,0.466666667,0.449
34,35,16_25,OK,1.42,134,0.167,1.7,0.184,0,16_25,,0.64,0.6
35,36,11_12,OK,1.35,136,0.1,1.55,0.117,0,11_12,,0.916666667,0.906
36,37,11_35,OK,1.37,139,0.166,1.72,0.183,0,11_35,,0.314285714,0.744
37,38,703_891,ERR_TooSlowInstantaneous,0,142,0.183,1.27,0.199,0,703_891,,0.789,N/A
38,39,3_8,OK,1.22,144,0.217,1.53,0.234,0,3_8,,0.375,0.619
39,40,4_5,OK,1.25,147,0.149,1.53,0.166,0,4_5,,0.8,0.84
40,41,10_13,OK,1.26,149,0.202,1.6,0.216,0,10_13,,0.769230769,0.733
41,42,1_6,OK,1.33,153,0.167,1.63,0.183,0,1_6,,0.166666667,0.193
42,43,10_19,OK,1.25,156,0.2,1.63,0.217,0,10_19,,0.526315789,0.765
43,44,1_9,OK,1.67,158,0.283,2.12,0.3,0,1_9,,0.111111111,0.131
44,45,28_109,OK,1.78,162,0.184,2.2,0.2,0,28_109,,0.256880734,0.822
45,46,291_491,OK,1.47,165,0.15,1.8,0.167,0,291_491,,0.592668024,0.497
46,21,16_25,OK,1.6,168,0.116,1.95,0.133,0,16_25,,0.64,0.294
47,33,120_553,OK,1.65,171,0.1,1.92,0.116,0,120_553,,0.217,0.772
48,38,703_891,OK,1.47,176,0.15,1.78,0.167,0,703_891,,0.789,0.904
