trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,OK,1.53,13.9,0.283,1.92,0.299,0:258,0,65321,65321,6.88e+04
2,3,11730,OK,1.22,16.9,0.133,1.48,0.15,0:258,0,11730,11730,9.72e+03
3,4,73954,OK,1.38,19.4,0.167,1.7,0.184,0:258,0,73954,73954,8.03e+04
4,5,92855,OK,1.28,21.9,0.167,1.6,0.182,0:258,0,92855,92855,9.79e+04
5,6,25731,OK,1.55,24.4,0.0169,1.75,0.0339,0:258,0,25731,25731,4.72e+03
6,7,16542,OK,1.52,28.7,0.183,1.8,0.199,0:258,0,16542,16542,2.79e+04
7,8,37828,OK,1.55,31.7,0.167,1.83,0.184,0:258,0,37828,37828,3.49e+04
8,9,59374,OK,1.53,34.7,0.149,1.83,0.166,0:258,0,59374,59374,6.15e+04
9,10,49743,OK,1.41,37.4,0.135,1.72,0.15,0:258,0,49743,49743,4.28e+04
10,11,5882,OK,1.72,40.1,0.15,2.02,0.166,0:258,0,5882,5882,1.25e+03
11,12,47765,OK,1.67,43.1,0.149,1.91,0.166,0:258,0,47765,47765,3.81e+04
12,13,11328,OK,1.65,46,0.116,1.92,0.132,0:258,0,11328,11328,1.99e+04
13,14,83425,OK,1.58,48.8,0.117,1.87,0.133,0:258,0,83425,83425,8e+04
14,15,32319,OK,1.48,51.7,0.149,1.8,0.166,0:258,0,32319,32319,2.26e+04
15,16,76921,OK,1.52,54.6,0.233,1.88,0.249,0:258,0,76921,76921,7.86e+04
16,17,25731,OK,1.65,57.4,0.183,2.02,0.199,0:258,0,25731,25731,2.25e+04
17,18,65321,OK,1.53,60.4,0.15,1.87,0.166,0:258,0,65321,65321,7.06e+04
18,19,16542,OK,1.7,63.2,0.25,2.17,0.267,0:258,0,16542,16542,2.35e+04
19,20,92855,OK,1.81,67.4,0.301,2.32,0.317,0:258,0,92855,92855,9.19e+04
20,21,32319,OK,1.67,70.6,0.3,2.08,0.317,0:258,0,32319,32319,2.31e+04
21,22,49743,OK,1.8,73.7,0.216,2.18,0.232,0:258,0,49743,49743,4.24e+04
22,23,47765,OK,1.68,76.8,0.233,2.03,0.249,0:258,0,47765,47765,4.14e+04
23,24,11328,OK,1.75,80.1,0.234,2.12,0.25,0:258,0,11328,11328,1.75e+04
24,25,59374,OK,1.63,83.2,0.25,2.05,0.265,0:258,0,59374,59374,6.92e+04
25,26,11730,OK,1.53,86.3,0.218,1.88,0.234,0:258,0,11730,11730,1.46e+04
26,27,5882,OK,1.72,89.2,0.2,2.03,0.217,0:258,0,5882,5882,417
27,28,76921,OK,1.72,92.3,0.0991,1.97,0.116,0:258,0,76921,76921,8.44e+04
28,29,83425,OK,1.48,95.1,0.201,1.92,0.217,0:258,0,83425,83425,8.94e+04
29,30,73954,OK,1.57,98.1,0.184,1.87,0.2,0:258,0,73954,73954,7.81e+04
30,31,37828,OK,1.43,101,0.134,1.82,0.15,0:258,0,37828,37828,2.64e+04
31,32,49743,OK,1.62,104,0.117,1.88,0.133,0:258,0,49743,49743,4.11e+04
32,33,16542,OK,1.7,107,0.102,2.08,0.117,0:258,0,16542,16542,1.97e+04
33,34,32319,OK,1.47,111,0.2,1.88,0.216,0:258,0,32319,32319,3.24e+04
34,35,37828,OK,1.48,114,0.267,1.93,0.284,0:258,0,37828,37828,3.36e+04
35,36,25731,OK,1.5,119,0.15,1.83,0.167,0:258,0,25731,25731,2.56e+04
36,37,47765,OK,1.82,121,0.15,2.22,0.166,0:258,0,47765,47765,4.56e+04
37,38,92855,OK,1.82,125,0.168,2.25,0.185,0:258,0,92855,92855,9.39e+04
38,39,11730,OK,1.91,128,0.201,2.32,0.217,0:258,0,11730,11730,2e+04
39,40,11328,OK,1.42,131,0.234,1.82,0.25,0:258,0,11328,11328,2.17e+04
40,41,65321,OK,1.9,134,0.134,2.22,0.15,0:258,0,65321,65321,8.28e+04
41,42,76921,ERR_InvalidAngle,0,137,0.166,8.5,0.183,0:258,0,76921,76921,N/A
42,43,5882,OK,1.4,149,0.117,1.68,0.134,0:258,0,5882,5882,8.33e+03
43,44,59374,OK,1.63,151,0.133,2,0.15,0:258,0,59374,59374,5.85e+04
44,45,83425,OK,1.37,154,0.25,1.77,0.267,0:258,0,83425,83425,7.9e+04
45,46,73954,OK,1.33,157,0.2,1.73,0.217,0:258,0,73954,73954,7e+04
46,42,76921,OK,1.42,160,0.15,1.77,0.167,0:258,0,76921,76921,7.61e+04
