trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.323,OK,1.65,11.3,0.267,2.22,0.283,0:258,0,0.323,0.323,0.154
2,3,0.739,OK,1.53,14.5,0.285,2.13,0.302,0:258,0,0.739,0.739,0.71
3,4,0.506,OK,1.42,17.6,0.251,1.9,0.268,0:258,0,0.506,0.506,0.489
4,5,0.167,OK,1.42,20.6,0.166,1.88,0.182,0:258,0,0.167,0.167,0.0986
5,6,0.111,OK,1.57,23.5,0.102,1.92,0.118,0:258,0,0.111,0.111,0.0444
6,7,0.059,OK,1.58,26.5,0.151,2.03,0.167,0:258,0,0.059,0.059,0.0139
7,8,0.834,OK,1.41,29.5,0.186,1.87,0.202,0:258,0,0.834,0.834,0.854
8,9,0.769,OK,1.17,32.3,0.133,1.5,0.15,0:258,0,0.769,0.769,0.728
9,10,0.378,OK,1.33,34.6,0.103,1.65,0.118,0:258,0,0.378,0.378,0.178
10,11,0.257,OK,1.38,37.3,0.084,1.68,0.101,0:258,0,0.257,0.257,0.0611
11,12,0.117,OK,1.5,40,0.085,1.8,0.101,0:258,0,0.117,0.117,0.0569
12,13,0.593,OK,1.27,42.7,0.134,1.7,0.151,0:258,0,0.593,0.593,0.647
13,14,0.475,OK,1.28,45.2,0.135,1.63,0.151,0:258,0,0.475,0.475,0.389
14,15,0.653,OK,1.25,47.7,0.117,1.63,0.134,0:258,0,0.653,0.653,0.753
15,16,0.928,OK,1.23,50.1,0.119,1.55,0.135,0:258,0,0.928,0.928,0.886
16,17,0.257,OK,1.38,52.5,0.202,1.77,0.218,0:258,0,0.257,0.257,0.0972
17,18,0.475,OK,1.16,55.2,0.103,1.48,0.119,0:258,0,0.475,0.475,0.319
18,19,0.506,OK,1.1,57.5,0.151,1.52,0.168,0:258,0,0.506,0.506,0.517
19,20,0.653,OK,1.15,59.9,0.0856,1.48,0.102,0:258,0,0.653,0.653,0.618
20,21,0.593,OK,1.38,62.2,0.0861,1.79,0.101,0:258,0,0.593,0.593,0.428
21,22,0.167,OK,1.25,64.8,0.118,1.68,0.134,0:258,0,0.167,0.167,0.111
22,23,0.111,OK,1.31,68.8,0.335,1.87,0.351,0:258,0,0.111,0.111,0.0847
23,24,0.834,OK,1.35,71.8,0.0848,1.7,0.102,0:258,0,0.834,0.834,0.828
24,25,0.739,OK,1.12,74.4,0.234,1.65,0.25,0:258,0,0.739,0.739,0.742
25,26,0.059,OK,1.47,76.8,0.168,1.85,0.184,0:258,0,0.059,0.059,0.00972
26,27,0.378,OK,1.38,79.6,0.201,1.77,0.216,0:258,0,0.378,0.378,0.144
27,28,0.117,OK,1.35,82.3,0.12,1.67,0.134,0:258,0,0.117,0.117,0.075
28,29,0.769,OK,1.47,84.8,0.102,1.82,0.118,0:258,0,0.769,0.769,0.814
29,30,0.928,OK,2.03,87.6,0.166,2.52,0.183,0:258,0,0.928,0.928,0.918
30,31,0.323,OK,1.85,91,0.2,2.22,0.216,0:258,0,0.323,0.323,0.228
31,32,0.167,OK,1.58,94.2,0.235,2.03,0.251,0:258,0,0.167,0.167,0.133
32,33,0.111,OK,1.46,97.1,0.169,1.82,0.185,0:258,0,0.111,0.111,0.0778
33,34,0.323,OK,1.48,99.9,0.201,1.92,0.217,0:258,0,0.323,0.323,0.164
34,35,0.653,OK,1.77,103,0.184,2.27,0.2,0:258,0,0.653,0.653,0.713
35,36,0.769,OK,1.36,106,0.236,1.82,0.251,0:258,0,0.769,0.769,0.824
36,37,0.257,OK,1.33,109,0.285,1.8,0.301,0:258,0,0.257,0.257,0.15
37,38,0.378,OK,1.4,111,0.184,1.77,0.2,0:258,0,0.378,0.378,0.225
38,39,0.593,OK,1.57,114,0.251,2.08,0.268,0:258,0,0.593,0.593,0.681
39,40,0.059,OK,1.6,117,0.236,2,0.253,0:258,0,0.059,0.059,0.00694
40,41,0.475,OK,1.25,120,0.284,1.68,0.302,0:258,0,0.475,0.475,0.237
41,42,0.739,OK,1.46,123,0.152,1.94,0.168,0:258,0,0.739,0.739,0.825
42,43,0.928,OK,1.4,126,0.25,1.92,0.267,0:258,0,0.928,0.928,0.876
43,44,0.506,OK,1.4,128,0.203,1.82,0.217,0:258,0,0.506,0.506,0.481
44,45,0.834,OK,1.61,131,0.169,2.03,0.185,0:258,0,0.834,0.834,0.772
45,46,0.117,OK,1.45,134,0.352,1.97,0.368,0:258,0,0.117,0.117,0.103
