trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,1.76,12.7,0.517,2.53,0.533,0,16_25,,0.64,0.213
2,3,120_553,OK,1.38,16.3,0.219,1.9,0.235,0,120_553,,0.217,0.707
3,4,28_109,OK,1.7,19,0.168,2.03,0.184,0,28_109,,0.256880734,0.322
4,5,4_5,OK,1.4,22.4,0.202,1.72,0.219,0,4_5,,0.8,0.11
5,6,11_12,OK,1.38,25.2,0.119,1.67,0.135,0,11_12,,0.916666667,0.307
6,7,11_35,OK,1.51,27.8,0.153,1.88,0.167,0,11_35,,0.314285714,0.324
7,8,3_8,OK,1.46,30.5,0.102,1.72,0.119,0,3_8,,0.375,0.16
8,9,7_15,OK,1.15,33.1,0.368,1.63,0.384,0,7_15,,0.466666667,0.311
9,10,1_9,OK,1.25,35.6,0.183,1.58,0.199,0,1_9,,0.111111111,0.0875
10,11,10_19,OK,1.5,38.2,0.117,1.83,0.134,0,10_19,,0.526315789,0.551
11,12,703_891,OK,1.28,41,0.302,1.73,0.319,0,703_891,,0.789,0.849
12,13,1_17,OK,1.5,43.5,0.153,1.82,0.168,0,1_17,,0.058823529,0.229
13,14,291_491,OK,1.52,46.1,0.153,1.83,0.169,0,291_491,,0.592668024,0.721
14,15,10_13,OK,1.25,48.6,0.15,1.48,0.167,0,10_13,,0.769230769,0.335
15,16,1_6,OK,1.38,50.9,0.202,1.83,0.218,0,1_6,,0.166666667,0.1
16,17,1_9,OK,1.45,53.9,0.202,1.87,0.218,0,1_9,,0.111111111,0.176
17,18,10_19,OK,1.53,56.8,0.384,2.15,0.401,0,10_19,,0.526315789,0.401
18,19,10_13,OK,1.38,59.9,0.118,1.72,0.135,0,10_13,,0.769230769,0.332
19,20,28_109,OK,1.5,62.6,0.101,1.92,0.117,0,28_109,,0.256880734,0.682
20,21,16_25,OK,2.76,65.3,0.135,3.05,0.152,0,16_25,,0.64,0.365
21,22,7_15,ERR_TooSlowInstantaneous,0,70.9,0.268,1.01,0.286,0,7_15,,0.466666667,N/A
22,23,11_12,OK,2.15,73.5,0.27,2.67,0.285,0,11_12,,0.916666667,0.236
23,24,1_17,OK,1.55,85.5,0.351,2.08,0.368,0,1_17,,0.058823529,0.132
24,25,120_553,OK,1.77,89,0.283,2.3,0.3,0,120_553,,0.217,0.732
25,26,11_35,OK,1.5,92.3,0.252,2,0.268,0,11_35,,0.314285714,0.174
26,27,1_6,OK,1.43,95.4,0.268,1.97,0.284,0,1_6,,0.166666667,0.0486
27,28,4_5,OK,1.33,98.5,0.302,1.77,0.319,0,4_5,,0.8,0.122
28,29,3_8,OK,1.32,101,0.135,1.7,0.15,0,3_8,,0.375,0.172
29,30,291_491,OK,1.53,105,0.253,1.87,0.268,0,291_491,,0.592668024,0.357
30,31,703_891,OK,1.3,108,0.118,1.55,0.134,0,703_891,,0.789,0.368
31,32,1_17,OK,1.53,110,0.185,1.88,0.202,0,1_17,,0.058823529,0.85
32,33,120_553,OK,1.32,113,0.216,1.72,0.234,0,120_553,,0.217,0.397
33,34,7_15,OK,1.81,116,0.221,2.27,0.235,0,7_15,,0.466666667,0.637
34,35,16_25,OK,1.55,119,0.167,1.88,0.183,0,16_25,,0.64,0.44
35,36,11_12,OK,1.52,122,0.152,1.9,0.168,0,11_12,,0.916666667,0.683
36,37,11_35,OK,1.21,125,0.368,1.83,0.384,0,11_35,,0.314285714,0.764
37,38,703_891,OK,1.45,128,0.217,1.87,0.233,0,703_891,,0.789,0.242
38,39,3_8,OK,1.47,130,0.217,1.82,0.234,0,3_8,,0.375,0.874
39,40,4_5,OK,1.16,133,0.219,1.65,0.235,0,4_5,,0.8,0.751
40,41,10_13,OK,1.47,136,0.202,1.87,0.218,0,10_13,,0.769230769,0.574
41,42,1_6,OK,1.78,140,0.268,2.28,0.285,0,1_6,,0.166666667,0.896
42,43,10_19,OK,1.37,143,0.251,1.8,0.267,0,10_19,,0.526315789,0.421
43,44,1_9,OK,1.78,146,0.25,2.3,0.266,0,1_9,,0.111111111,0.86
44,45,28_109,OK,1.55,149,0.166,2.02,0.183,0,28_109,,0.256880734,0.362
45,46,291_491,OK,1.48,152,0.217,1.85,0.234,0,291_491,,0.592668024,0.0903
46,22,7_15,OK,1.58,155,0.135,1.9,0.151,0,7_15,,0.466666667,0.579
