trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,2.58,10.7,0.168,3.06,0.185,0,16_25,,0.64,0.6
2,3,120_553,OK,1.9,15.4,0.102,2.3,0.118,0,120_553,,0.217,0.424
3,4,28_109,OK,2.15,18.3,0.218,2.69,0.234,0,28_109,,0.256880734,0.403
4,5,4_5,OK,2.23,23.2,0.151,2.7,0.167,0,4_5,,0.8,0.39
5,6,11_12,OK,1.73,27.3,0.135,2.15,0.15,0,11_12,,0.916666667,0.86
6,7,11_35,OK,1.37,30.3,0.201,1.7,0.217,0,11_35,,0.314285714,0.718
7,8,3_8,OK,1.47,32.8,0.185,1.75,0.202,0,3_8,,0.375,0.269
8,9,7_15,ERR_TooSlowInstantaneous,0,35.3,0.118,1.82,0.135,0,7_15,,0.466666667,N/A
9,10,1_9,OK,1.8,38.5,0.235,2.28,0.251,0,1_9,,0.111111111,0.297
10,11,10_19,OK,1.53,43.4,0.151,1.83,0.168,0,10_19,,0.526315789,0.833
11,12,703_891,OK,2.11,45.9,0.102,2.53,0.117,0,703_891,,0.789,0.753
12,13,1_17,OK,1.85,49.2,0.152,2.27,0.168,0,1_17,,0.058823529,0.914
13,14,291_491,ERR_TooSlowInstantaneous,0,52.2,0.102,1.71,0.118,0,291_491,,0.592668024,N/A
14,15,10_13,OK,1.68,55.1,0.136,1.97,0.151,0,10_13,,0.769230769,0.218
15,16,1_6,OK,1.6,57.9,0.135,2,0.151,0,1_6,,0.166666667,0.592
16,17,1_9,OK,1.22,60.5,0.133,1.57,0.15,0,1_9,,0.111111111,0.928
17,18,10_19,OK,1.03,62.6,0.117,1.45,0.133,0,10_19,,0.526315789,0.908
18,19,10_13,OK,1.32,64.6,0.0841,1.6,0.101,0,10_13,,0.769230769,0.289
19,20,28_109,OK,1.4,68.1,0.151,1.77,0.168,0,28_109,,0.256880734,0.353
20,21,16_25,OK,1.48,70.5,0.117,1.77,0.134,0,16_25,,0.64,0.76
21,22,7_15,OK,1.7,73,0.284,2.28,0.3,0,7_15,,0.466666667,0.312
22,23,11_12,OK,1.49,77.6,0.141,1.76,0.161,0,11_12,,0.916666667,0.203
23,24,1_17,OK,2.06,80.1,0.145,2.38,0.162,0,1_17,,0.058823529,0.947
24,25,120_553,OK,1.67,83.2,0.0166,1.92,0.0332,0,120_553,,0.217,0.508
25,26,11_35,OK,1.53,85.8,0.067,1.78,0.0834,0,11_35,,0.314285714,0.233
26,27,1_6,OK,1.41,88.2,0.0836,1.78,0.0999,0,1_6,,0.166666667,0.604
27,28,4_5,OK,1.67,90.5,0.0675,1.93,0.0841,0,4_5,,0.8,0.453
28,29,3_8,OK,1.57,94.4,0.134,1.9,0.15,0,3_8,,0.375,0.242
29,30,291_491,OK,1.1,97.1,0.15,1.55,0.167,0,291_491,,0.592668024,0.735
30,32,1_17,OK,1.41,104,0.0172,1.62,0.0338,0,1_17,,0.058823529,0.931
31,33,120_553,OK,1.63,106,0.183,2.08,0.2,0,120_553,,0.217,0.494
32,34,7_15,ERR_TooSlowInstantaneous,0,109,0.0665,1.69,0.0829,0,7_15,,0.466666667,N/A
33,35,16_25,OK,1.19,111,0.217,1.53,0.233,0,16_25,,0.64,0.264
34,36,11_12,OK,1.26,114,0.167,1.55,0.183,0,11_12,,0.916666667,0.214
35,37,11_35,OK,1.17,116,0.0826,1.43,0.099,0,11_35,,0.314285714,0.289
36,38,703_891,OK,1.55,118,0.117,1.98,0.133,0,703_891,,0.789,0.792
37,39,3_8,OK,1.02,121,0.0971,1.3,0.126,0,3_8,,0.375,0.397
38,40,4_5,OK,1.25,123,0.0997,1.55,0.116,0,4_5,,0.8,0.36
39,42,1_6,OK,1.2,127,0.267,1.7,0.284,0,1_6,,0.166666667,0.568
40,43,10_19,OK,1.33,129,0.168,1.78,0.184,0,10_19,,0.526315789,0.889
41,44,1_9,OK,0.897,132,0.185,1.33,0.201,0,1_9,,0.111111111,0.883
42,45,28_109,OK,1.15,134,0.0522,1.38,0.0684,0,28_109,,0.256880734,0.275
43,46,291_491,OK,1.57,136,0.0843,1.85,0.1,0,291_491,,0.592668024,0.364
44,9,7_15,OK,1.42,138,0.0845,1.73,0.101,0,7_15,,0.466666667,0.483
45,14,291_491,OK,1.4,140,0.0671,1.67,0.0851,0,291_491,,0.592668024,0.318
46,31,703_891,OK,1.63,144,0.166,1.98,0.182,0,703_891,,0.789,0.839
47,34,7_15,OK,1.18,146,0.137,1.6,0.152,0,7_15,,0.466666667,0.747
48,41,10_13,OK,1.4,148,0.152,1.82,0.17,0,10_13,,0.769230769,0.322
