trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.323,OK,1.93,9.44,0.184,2.37,0.201,0:258,0,0.323,0.323,0.203
2,3,0.739,OK,1.73,20.1,0.102,2.05,0.119,0:258,0,0.739,0.739,0.853
3,4,0.506,OK,0.966,22.7,0.102,1.33,0.118,0:258,0,0.506,0.506,0.5
4,5,0.167,OK,1.13,24.6,0.0846,1.45,0.101,0:258,0,0.167,0.167,0.231
5,6,0.111,OK,1.02,26.8,0.0341,1.32,0.0503,0:258,0,0.111,0.111,0.0917
6,7,0.059,OK,1.33,29,0.119,1.75,0.135,0:258,0,0.059,0.059,0.179
7,8,0.834,ERR_TooSlowInstantaneous,0,32.4,0.0504,1.62,0.0678,0:258,0,0.834,0.834,N/A
8,9,0.769,OK,1.12,35.1,0.118,1.45,0.134,0:258,0,0.769,0.769,0.885
9,10,0.378,OK,1.43,37.1,0.0163,1.67,0.0329,0:258,0,0.378,0.378,0.19
10,11,0.257,OK,1.15,40.4,0.186,1.62,0.202,0:258,0,0.257,0.257,0.185
11,12,0.117,OK,1.1,42.7,0.167,1.53,0.183,0:258,0,0.117,0.117,0.0944
12,13,0.593,OK,1.18,44.9,0.102,1.52,0.119,0:258,0,0.593,0.593,0.599
13,14,0.475,OK,1.1,47,0.101,1.38,0.118,0:258,0,0.475,0.475,0.494
14,15,0.653,OK,1.13,49.1,0.117,1.5,0.133,0:258,0,0.653,0.653,0.668
15,16,0.928,OK,1.15,51.2,0.102,1.47,0.119,0:258,0,0.928,0.928,0.901
16,17,0.257,OK,0.933,53.3,0.217,1.38,0.235,0:258,0,0.257,0.257,0.297
17,18,0.475,OK,1.48,55.4,0.0842,1.72,0.101,0:258,0,0.475,0.475,0.412
18,19,0.506,OK,0.983,57.7,0.15,1.28,0.167,0:258,0,0.506,0.506,0.521
19,20,0.653,OK,0.966,59.6,0.101,1.25,0.118,0:258,0,0.653,0.653,0.621
20,21,0.593,OK,1.02,61.5,0.017,1.24,0.0335,0:258,0,0.593,0.593,0.574
21,22,0.167,OK,1.23,63.3,0.1,1.5,0.117,0:258,0,0.167,0.167,0.294
22,23,0.111,OK,1.07,66.5,0.151,1.47,0.168,0:258,0,0.111,0.111,0.126
23,24,0.834,OK,0.95,68.6,0.0841,1.23,0.101,0:258,0,0.834,0.834,0.904
24,25,0.739,OK,0.966,70.4,0.0848,1.23,0.101,0:258,0,0.739,0.739,0.74
25,26,0.059,OK,1.27,72.3,0.101,1.6,0.118,0:258,0,0.059,0.059,0.149
26,27,0.378,OK,1.43,74.6,0.104,1.7,0.118,0:258,0,0.378,0.378,0.246
27,28,0.117,OK,0.965,77,0.136,1.34,0.153,0:258,0,0.117,0.117,0.121
28,29,0.769,OK,1.12,78.9,0.135,1.47,0.152,0:258,0,0.769,0.769,0.793
29,30,0.928,OK,0.95,81,0.101,1.29,0.118,0:258,0,0.928,0.928,0.963
30,31,0.323,OK,1.02,83.8,0.152,1.4,0.169,0:258,0,0.323,0.323,0.196
31,32,0.167,OK,1.08,85.9,0.102,1.43,0.119,0:258,0,0.167,0.167,0.142
32,33,0.111,OK,0.916,87.9,0.102,1.25,0.119,0:258,0,0.111,0.111,0.0944
33,34,0.323,OK,1.15,89.8,0.0845,1.47,0.1,0:258,0,0.323,0.323,0.237
34,35,0.653,OK,1.25,91.9,0.102,1.64,0.119,0:258,0,0.653,0.653,0.731
35,36,0.769,OK,0.95,94.1,0.101,1.28,0.116,0:258,0,0.769,0.769,0.856
36,37,0.257,OK,0.949,96,0.118,1.3,0.134,0:258,0,0.257,0.257,0.208
37,38,0.378,OK,0.999,98,0.118,1.33,0.134,0:258,0,0.378,0.378,0.226
38,39,0.593,OK,0.999,99.9,0.101,1.28,0.118,0:258,0,0.593,0.593,0.606
39,40,0.059,OK,1.08,102,0.085,1.49,0.101,0:258,0,0.059,0.059,0.672
40,41,0.475,OK,1.4,105,0.1,1.62,0.117,0:258,0,0.475,0.475,0.426
41,42,0.739,OK,0.981,107,0.135,1.28,0.151,0:258,0,0.739,0.739,0.728
42,43,0.928,OK,0.935,109,0.133,1.24,0.15,0:258,0,0.928,0.928,0.926
43,44,0.506,OK,1.23,110,0.118,1.48,0.135,0:258,0,0.506,0.506,0.486
44,45,0.834,OK,0.966,117,0.151,1.27,0.167,0:258,0,0.834,0.834,0.849
45,46,0.117,OK,0.982,119,0.119,1.27,0.135,0:258,0,0.117,0.117,0.129
46,8,0.834,OK,1.07,121,0.0842,1.35,0.101,0:258,0,0.834,0.834,0.876
