trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,9,8,ERR_StartedSideways,0,15,-1,2.11,-1,0:258,0,8,8,N/A
2,3,2,ERR_TooSlowInstantaneous,0,24.2,0.6,2.7,0.616,0:258,0,2,2,N/A
3,4,3,OK,1.83,29.9,0.449,2.6,0.466,0:258,0,3,3,5.81
4,8,7,ERR_TooSlowInstantaneous,0,33.6,0.316,3.02,0.333,0:258,0,7,7,N/A
5,10,9,ERR_TooSlowInstantaneous,0,43.4,0.983,2.37,1,0:258,0,9,9,N/A
6,7,6,ERR_TooSlowInstantaneous,0,48.7,0.434,5.22,0.45,0:258,0,6,6,N/A
7,6,5,ERR_TooSlowInstantaneous,0,62.3,0.9,5.55,0.917,0:258,0,5,5,N/A
8,9,8,ERR_TooSlowInstantaneous,0,74.5,0.633,2.02,0.65,0:258,0,8,8,N/A
9,8,7,OK,3.55,79.2,1.15,5.01,1.17,0:258,0,7,7,7.54
10,11,10,OK,1.97,91.5,0.518,2.79,0.534,0:258,0,10,10,9.99
11,3,2,OK,1.82,95.9,0.483,2.63,0.501,0:258,0,2,2,1.31
12,6,5,OK,1.73,99.8,0.668,2.72,0.686,0:258,0,5,5,4.96
13,5,4,OK,2.17,104,0.668,3.14,0.684,0:258,0,4,4,3.82
14,10,9,OK,2.38,108,0.4,3.09,0.417,0:258,0,9,9,8.81
15,9,8,OK,1.93,112,0.351,2.6,0.367,0:258,0,8,8,7.88
16,2,1,OK,1.83,116,0.333,2.48,0.35,0:258,0,1,1,0.819
17,7,6,OK,1.73,120,0.369,2.41,0.386,0:258,0,6,6,5.72
