trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,6.73,9.51,0.485,7.53,0.502,0,16_25,,0.64,0.589
2,3,120_553,ERR_TooSlowInstantaneous,0,18,0.252,4.15,0.269,0,120_553,,0.217,N/A
3,4,28_109,OK,2.03,24.1,0.401,2.73,0.417,0,28_109,,0.256880734,0.236
4,5,4_5,ERR_TooSlowInstantaneous,0,27.8,0.251,2.61,0.268,0,4_5,,0.8,N/A
5,6,11_12,OK,1.72,31.7,0.384,2.42,0.4,0,11_12,,0.916666667,0.914
6,7,11_35,OK,2.42,34.9,0.167,2.77,0.184,0,11_35,,0.314285714,0.35
7,8,3_8,OK,2.58,38.6,0.234,3.1,0.25,0,3_8,,0.375,0.25
8,9,7_15,OK,2.13,42.5,0.167,2.57,0.183,0,7_15,,0.466666667,0.386
9,10,1_9,OK,1.8,46.5,0.0169,2.07,0.0343,0,1_9,,0.111111111,0.125
10,11,10_19,OK,4.03,49.6,0.217,4.55,0.234,0,10_19,,0.526315789,0.644
11,12,703_891,OK,2.12,55.2,0.167,2.47,0.183,0,703_891,,0.789,0.81
12,13,1_17,OK,2.12,58.7,0.417,2.85,0.433,0,1_17,,0.058823529,0.0361
13,14,291_491,OK,2.75,62.7,0.333,3.35,0.35,0,291_491,,0.592668024,0.433
14,15,10_13,OK,3.36,67.1,0.2,3.88,0.217,0,10_13,,0.769230769,0.85
15,16,1_6,OK,1.6,71.9,0.283,2.15,0.3,0,1_6,,0.166666667,0.183
16,17,1_9,OK,1.91,75.1,0.177,2.33,0.197,0,1_9,,0.111111111,0.0722
17,18,10_19,ERR_TooSlowInstantaneous,0,78.5,0.234,5.2,0.25,0,10_19,,0.526315789,N/A
18,19,10_13,OK,2.57,84.9,0.4,3.11,0.417,0,10_13,,0.769230769,0.792
19,20,28_109,OK,1.85,88.8,0.283,2.3,0.3,0,28_109,,0.256880734,0.232
20,21,16_25,OK,4.07,92.1,0.317,4.62,0.334,0,16_25,,0.64,0.582
21,22,7_15,OK,1.67,98,0.366,2.21,0.382,0,7_15,,0.466666667,0.386
22,23,11_12,OK,1.48,101,0.167,1.87,0.183,0,11_12,,0.916666667,0.878
23,24,1_17,OK,1.48,104,0.169,1.83,0.184,0,1_17,,0.058823529,0.128
24,25,120_553,OK,1.68,106,0.167,2,0.183,0,120_553,,0.217,0.215
25,26,11_35,OK,2.6,109,0.183,2.95,0.2,0,11_35,,0.314285714,0.264
26,27,1_6,ERR_TooSlowGlobal,0,113,0.617,1.47,0.634,0,1_6,,0.166666667,N/A
27,28,4_5,OK,3.3,116,0.518,4.03,0.534,0,4_5,,0.8,0.856
28,29,3_8,OK,1.68,122,0.202,2.03,0.218,0,3_8,,0.375,0.194
29,30,291_491,OK,2.48,125,0.268,2.9,0.284,0,291_491,,0.592668024,0.569
30,31,703_891,OK,1.68,129,0.234,2.08,0.25,0,703_891,,0.789,0.847
31,32,1_17,OK,1.64,132,0.217,2.12,0.233,0,1_17,,0.058823529,0.0806
32,33,120_553,OK,1.83,134,0.167,2.15,0.185,0,120_553,,0.217,0.182
33,34,7_15,OK,1.43,138,0.201,1.82,0.217,0,7_15,,0.466666667,0.4
34,35,16_25,OK,3.05,140,0.118,3.35,0.134,0,16_25,,0.64,0.653
35,36,11_12,OK,1.48,144,0.45,2.08,0.466,0,11_12,,0.916666667,0.881
36,37,11_35,OK,2.6,147,0.55,3.26,0.566,0,11_35,,0.314285714,0.358
37,38,703_891,OK,2.18,151,0.633,3.02,0.65,0,703_891,,0.789,0.864
38,39,3_8,OK,1.83,155,0.483,2.42,0.499,0,3_8,,0.375,0.182
39,40,4_5,OK,1.58,159,0.231,1.93,0.249,0,4_5,,0.8,0.922
40,41,10_13,ERR_TooSlowGlobal,0,162,0.0167,0.321,0.0333,0,10_13,,0.769230769,N/A
41,43,10_19,OK,3.81,165,0.434,4.47,0.45,0,10_19,,0.526315789,0.614
42,44,1_9,OK,1.93,171,0.305,2.35,0.349,0,1_9,,0.111111111,0.108
43,45,28_109,OK,2,174,0.683,2.88,0.7,0,28_109,,0.256880734,0.197
44,46,291_491,OK,2.75,179,0.683,3.62,0.7,0,291_491,,0.592668024,0.581
45,3,120_553,OK,2.05,184,0.518,2.72,0.533,0,120_553,,0.217,0.112
46,5,4_5,OK,2.02,188,0.283,2.52,0.301,0,4_5,,0.8,0.864
47,18,10_19,OK,5.61,192,0.301,6.08,0.317,0,10_19,,0.526315789,0.532
48,27,1_6,OK,1.62,199,0.3,2.03,0.316,0,1_6,,0.166666667,0.146
49,41,10_13,OK,2.29,202,0.238,2.65,0.254,0,10_13,,0.769230769,0.761
50,42,1_6,OK,1.67,205,0.35,2.17,0.366,0,1_6,,0.166666667,0.157
