trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,ERR_TooSlowInstantaneous,0,9.36,0.301,1.72,0.317,0,16_25,,0.64,N/A
2,4,28_109,ERR_TooSlowInstantaneous,0,13.6,0.118,5.63,0.134,0,28_109,,0.256880734,N/A
3,5,4_5,OK,5.66,21.2,0.402,6.39,0.419,0,4_5,,0.8,0.863
4,6,11_12,OK,4.96,29,0.252,5.53,0.268,0,11_12,,0.916666667,0.949
5,7,11_35,OK,6.28,35.9,0.251,6.84,0.268,0,11_35,,0.314285714,0.333
6,8,3_8,OK,5.46,43.8,0.252,6.04,0.268,0,3_8,,0.375,0.357
7,9,7_15,OK,5.85,51.1,0.233,6.41,0.25,0,7_15,,0.466666667,0.4
8,10,1_9,OK,6.55,58.6,0.251,7.1,0.268,0,1_9,,0.111111111,0.0944
9,12,703_891,OK,6.13,68.3,0.151,6.59,0.169,0,703_891,,0.789,0.806
10,13,1_17,OK,6.16,76,0.302,6.79,0.317,0,1_17,,0.058823529,0.0681
11,14,291_491,OK,5.81,84.2,0.318,6.46,0.335,0,291_491,,0.592668024,0.744
12,15,10_13,OK,6.25,91.5,0.25,6.81,0.268,0,10_13,,0.769230769,0.808
13,16,1_6,OK,4.87,99.2,0.233,5.41,0.249,0,1_6,,0.166666667,0.106
14,17,1_9,OK,4.35,106,0.201,4.87,0.218,0,1_9,,0.111111111,0.0819
15,18,10_19,OK,5.18,112,0.252,5.76,0.267,0,10_19,,0.526315789,0.7
16,19,10_13,OK,5.21,118,0.251,5.79,0.267,0,10_13,,0.769230769,0.769
17,20,28_109,OK,5.93,125,0.25,6.51,0.266,0,28_109,,0.256880734,0.178
18,21,16_25,ERR_TooSlowInstantaneous,0,133,0.28,6.81,0.304,0,16_25,,0.64,N/A
19,22,7_15,OK,4.33,141,0.252,4.89,0.268,0,7_15,,0.466666667,0.435
20,23,11_12,OK,4.8,147,0.185,5.29,0.201,0,11_12,,0.916666667,0.9
21,24,1_17,OK,4.83,153,0.251,5.39,0.268,0,1_17,,0.058823529,0.0556
22,25,120_553,ERR_TooSlowInstantaneous,0,161,0.218,3.34,0.234,0,120_553,,0.217,N/A
23,26,11_35,OK,4.86,166,0.285,5.47,0.301,0,11_35,,0.314285714,0.394
24,27,1_6,OK,3.63,173,0.152,4.08,0.168,0,1_6,,0.166666667,0.0875
25,28,4_5,OK,3.37,178,0.301,3.97,0.318,0,4_5,,0.8,0.778
26,29,3_8,OK,3.83,182,0.183,4.34,0.199,0,3_8,,0.375,0.361
27,30,291_491,OK,3.05,188,0.101,3.46,0.116,0,291_491,,0.592668024,0.778
28,31,703_891,OK,3.13,192,0.136,3.57,0.15,0,703_891,,0.789,0.797
29,32,1_17,OK,3.5,196,0.0513,3.85,0.068,0,1_17,,0.058823529,0.0569
30,33,120_553,OK,4.55,201,0.217,5.09,0.234,0,120_553,,0.217,0.286
31,34,7_15,OK,3.08,210,0.218,3.61,0.234,0,7_15,,0.466666667,0.383
32,35,16_25,OK,4.63,215,0.201,5.16,0.218,0,16_25,,0.64,0.583
33,36,11_12,OK,3.38,221,0.167,3.87,0.183,0,11_12,,0.916666667,0.906
34,37,11_35,OK,3.77,226,0.167,4.26,0.183,0,11_35,,0.314285714,0.411
35,38,703_891,OK,4.1,231,0.017,4.43,0.0332,0,703_891,,0.789,0.793
36,39,3_8,OK,4.8,236,0.217,5.34,0.233,0,3_8,,0.375,0.331
37,40,4_5,OK,2.53,243,0.186,3.04,0.202,0,4_5,,0.8,0.826
38,41,10_13,OK,3.03,246,0.185,3.52,0.199,0,10_13,,0.769230769,0.775
39,42,1_6,OK,3.18,251,0.156,3.66,0.171,0,1_6,,0.166666667,0.108
40,43,10_19,OK,4.12,256,0.201,4.62,0.217,0,10_19,,0.526315789,0.594
41,44,1_9,OK,2.77,261,0.184,3.26,0.201,0,1_9,,0.111111111,0.0681
42,45,28_109,OK,3.25,267,0.216,3.79,0.232,0,28_109,,0.256880734,0.171
43,46,291_491,OK,2.48,271,0.234,3.03,0.25,0,291_491,,0.592668024,0.762
44,2,16_25,OK,3.5,275,0.2,3.95,0.216,0,16_25,,0.64,0.575
45,3,120_553,OK,3.4,280,0.316,4.02,0.334,0,120_553,,0.217,0.375
46,4,28_109,OK,3.13,285,0.0166,3.42,0.0334,0,28_109,,0.256880734,0.197
47,11,10_19,OK,4.27,291,0.318,4.91,0.334,0,10_19,,0.526315789,0.592
48,21,16_25,OK,4.93,297,0.25,5.49,0.267,0,16_25,,0.64,0.646
49,25,120_553,ERR_TooSlowInstantaneous,0,304,0.15,3.27,0.167,0,120_553,,0.217,N/A
50,25,120_553,OK,2.47,308,0.185,2.88,0.2,0,120_553,,0.217,0.167
