trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.323,OK,3.71,11.3,0.118,4.08,0.134,0:258,0,0.323,0.323,0.243
2,3,0.739,OK,2.65,17.1,0.0515,2.93,0.0665,0:258,0,0.739,0.739,0.719
3,4,0.506,OK,3.03,20.9,0.0341,3.32,0.0506,0:258,0,0.506,0.506,0.514
4,5,0.167,OK,2.83,25.1,0.0671,3.1,0.0836,0:258,0,0.167,0.167,0.0972
5,6,0.111,OK,2.17,30.2,0.134,2.55,0.15,0:258,0,0.111,0.111,0.0444
6,7,0.059,OK,2.07,33.7,0.101,2.43,0.117,0:258,0,0.059,0.059,0.00694
7,8,0.834,OK,2.65,37,0.15,3.1,0.166,0:258,0,0.834,0.834,0.897
8,9,0.769,OK,2.77,40.8,0.135,3.12,0.152,0:258,0,0.769,0.769,0.699
9,10,0.378,OK,3.13,44.7,0.135,3.52,0.151,0:258,0,0.378,0.378,0.213
10,11,0.257,OK,2.68,49.1,0.101,2.95,0.118,0:258,0,0.257,0.257,0.108
11,13,0.593,OK,1.88,54,0.119,2.25,0.135,0:258,0,0.593,0.593,0.581
12,14,0.475,OK,2.25,57,0.151,2.6,0.167,0:258,0,0.475,0.475,0.464
13,15,0.653,OK,2.23,60.4,0.118,2.65,0.134,0:258,0,0.653,0.653,0.679
14,16,0.928,OK,2.18,63.8,0.151,2.64,0.167,0:258,0,0.928,0.928,0.981
15,17,0.257,OK,3.31,67.6,0.152,3.63,0.168,0:258,0,0.257,0.257,0.125
16,18,0.475,OK,2.85,72.2,0.118,3.28,0.134,0:258,0,0.475,0.475,0.469
17,19,0.506,OK,2.56,76.3,0.0686,2.96,0.0843,0:258,0,0.506,0.506,0.514
18,20,0.653,OK,2.53,80.2,0.151,2.97,0.167,0:258,0,0.653,0.653,0.667
19,21,0.593,OK,2.92,84,0.116,3.35,0.134,0:258,0,0.593,0.593,0.611
20,22,0.167,OK,3.12,88.2,0.168,3.57,0.185,0:258,0,0.167,0.167,0.0597
21,23,0.111,OK,2.52,92.6,0.183,2.87,0.199,0:258,0,0.111,0.111,0.0306
22,24,0.834,OK,2.62,96.5,0.166,3.1,0.183,0:258,0,0.834,0.834,0.819
23,25,0.739,OK,2.48,101,0.15,2.94,0.166,0:258,0,0.739,0.739,0.721
24,26,0.059,OK,2.88,104,0.17,3.25,0.185,0:258,0,0.059,0.059,0.00556
25,27,0.378,OK,2.18,108,0.1,2.59,0.117,0:258,0,0.378,0.378,0.224
26,28,0.117,OK,2.17,113,0.153,2.52,0.169,0:258,0,0.117,0.117,0.0125
27,29,0.769,OK,1.73,116,0.117,2.12,0.133,0:258,0,0.769,0.769,0.781
28,30,0.928,OK,1.93,119,0.0688,2.27,0.0839,0:258,0,0.928,0.928,0.989
29,31,0.323,OK,1.85,122,0.0836,2.25,0.101,0:258,0,0.323,0.323,0.207
30,32,0.167,OK,2.32,125,0.134,2.63,0.151,0:258,0,0.167,0.167,0.0472
31,33,0.111,OK,1.75,129,0.0672,2.03,0.0835,0:258,0,0.111,0.111,0.00417
32,34,0.323,OK,1.73,132,0.118,2.1,0.135,0:258,0,0.323,0.323,0.176
33,35,0.653,OK,2.73,135,0.0504,3.07,0.0669,0:258,0,0.653,0.653,0.662
34,36,0.769,OK,2.43,139,0.117,2.75,0.134,0:258,0,0.769,0.769,0.764
35,37,0.257,OK,3.02,143,0.2,3.37,0.216,0:258,0,0.257,0.257,0.156
36,38,0.378,OK,2.35,147,0.117,2.72,0.133,0:258,0,0.378,0.378,0.342
37,39,0.593,OK,2.33,150,0.153,2.65,0.167,0:258,0,0.593,0.593,0.635
38,40,0.059,OK,2.27,154,0.117,2.65,0.133,0:258,0,0.059,0.059,-0.00694
39,41,0.475,OK,2.5,158,0.269,2.98,0.285,0:258,0,0.475,0.475,0.411
40,42,0.739,OK,3.41,162,0.385,4.02,0.401,0:258,0,0.739,0.739,0.769
41,43,0.928,OK,2.23,168,0.185,2.72,0.202,0:258,0,0.928,0.928,0.982
42,44,0.506,OK,2.17,171,0.134,2.57,0.15,0:258,0,0.506,0.506,0.5
43,45,0.834,OK,2.07,175,0.216,2.61,0.233,0:258,0,0.834,0.834,0.892
44,46,0.117,OK,3.08,178,0.217,3.62,0.233,0:258,0,0.117,0.117,0.0708
45,12,0.117,OK,2.4,183,0.049,2.6,0.0657,0:258,0,0.117,0.117,0.0278
