trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.52,OK,2.16,12,0.136,2.43,0.152,0:258,0,0.52,0.52,0.506
2,3,0.11,OK,2.03,15.8,0.219,2.5,0.234,0:258,0,0.11,0.11,0.0972
3,4,0.08,OK,2.05,19.2,0.169,2.43,0.185,0:258,0,0.08,0.08,0.0389
4,5,0.68,OK,1.75,22.5,0.152,2.15,0.168,0:258,0,0.68,0.68,0.0403
5,6,0.47,OK,1.45,25.5,0.085,1.7,0.102,0:258,0,0.47,0.47,0.0222
6,7,0.61,OK,1.65,28.1,0.101,2,0.117,0:258,0,0.61,0.61,0.0722
7,8,0.89,OK,1.93,32.6,0.168,2.4,0.184,0:258,0,0.89,0.89,0.0639
8,9,0.98,OK,1.65,35.8,0.119,2.08,0.135,0:258,0,0.98,0.98,0.0778
9,10,0.17,OK,1.63,38.9,0.134,2,0.15,0:258,0,0.17,0.17,0.0347
10,11,0.43,ERR_TooSlowInstantaneous,0,41.9,0.0164,2.16,0.0331,0:258,0,0.43,0.43,N/A
11,12,0.92,OK,2.06,47.4,0.153,2.42,0.169,0:258,0,0.92,0.92,0.928
12,13,0.03,OK,2.1,50.6,0.135,2.43,0.151,0:258,0,0.03,0.03,0.0653
13,14,0.32,OK,2.41,53.9,0.152,2.75,0.169,0:258,0,0.32,0.32,0.331
14,15,0.24,OK,1.23,57.4,0.102,1.47,0.119,0:258,0,0.24,0.24,0.215
15,16,0.56,OK,1.55,59.7,0.0685,1.75,0.0847,0:258,0,0.56,0.56,0.532
16,17,0.85,OK,1.27,62.2,0.119,1.58,0.136,0:258,0,0.85,0.85,0.714
17,18,0.77,OK,1.15,64.5,0.103,1.5,0.118,0:258,0,0.77,0.77,0.685
18,19,0.73,OK,1.15,66.9,0.152,1.52,0.168,0:258,0,0.73,0.73,0.683
19,20,0.35,OK,1.61,69.2,0.187,2.1,0.202,0:258,0,0.35,0.35,0.269
