trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,2.86,9.44,0.452,3.55,0.468,0,16_25,,0.64,0.192
2,3,120_553,OK,2.78,14.4,0.633,3.67,0.651,0,120_553,,0.217,0.129
3,4,28_109,OK,2.14,19.2,0.588,2.88,0.6,0,28_109,,0.256880734,0.221
4,5,4_5,OK,2.28,23.2,0.586,2.95,0.602,0,4_5,,0.8,0.435
5,6,11_12,ERR_FingerLifted,0,27.3,0.5,3.65,0.518,0,11_12,,0.916666667,N/A
6,7,11_35,OK,2.75,32.8,0.502,3.32,0.517,0,11_35,,0.314285714,0.285
7,8,3_8,ERR_FingerLifted,0,37.2,0.517,3.92,0.533,0,3_8,,0.375,N/A
8,9,7_15,OK,2.28,47.2,0.584,3,0.6,0,7_15,,0.466666667,0.296
9,10,1_9,ERR_FingerLifted,0,51.8,0.419,3.35,0.434,0,1_9,,0.111111111,N/A
10,12,703_891,OK,2.23,59.8,0.468,2.82,0.484,0,703_891,,0.789,0.263
11,13,1_17,OK,2.17,63.7,0.452,2.87,0.468,0,1_17,,0.058823529,0.351
12,14,291_491,OK,1.98,67.8,0.783,2.9,0.8,0,291_491,,0.592668024,0.396
13,15,10_13,OK,2.2,71.8,0.416,2.73,0.432,0,10_13,,0.769230769,0.447
14,16,1_6,OK,2.23,75.9,0.435,2.85,0.452,0,1_6,,0.166666667,0.224
15,18,10_19,OK,1.62,81.7,0.452,2.35,0.468,0,10_19,,0.526315789,0.156
16,19,10_13,OK,1.75,85.3,0.451,2.35,0.468,0,10_13,,0.769230769,0.406
17,20,28_109,OK,1.9,88.8,0.733,2.78,0.75,0,28_109,,0.256880734,0.376
18,21,16_25,OK,2.27,92.8,0.367,2.82,0.384,0,16_25,,0.64,0.206
19,22,7_15,OK,2.2,96.7,0.532,2.78,0.549,0,7_15,,0.466666667,0.436
20,23,11_12,OK,3.07,101,0.333,3.53,0.349,0,11_12,,0.916666667,0.404
21,24,1_17,OK,2.25,105,0.285,2.7,0.302,0,1_17,,0.058823529,0.429
22,25,120_553,OK,3.13,109,0.301,3.58,0.317,0,120_553,,0.217,0.36
23,26,11_35,OK,3.53,114,0.668,4.35,0.684,0,11_35,,0.314285714,0.468
24,27,1_6,OK,2.25,119,0.335,2.67,0.351,0,1_6,,0.166666667,0.613
25,28,4_5,OK,2.21,124,0.269,2.63,0.285,0,4_5,,0.8,0.414
26,29,3_8,OK,2.15,128,0.418,2.83,0.434,0,3_8,,0.375,0.447
27,30,291_491,OK,1.67,134,0.351,2.07,0.367,0,291_491,,0.592668024,0.382
28,31,703_891,OK,1.52,137,0.37,1.95,0.385,0,703_891,,0.789,0.249
29,32,1_17,OK,1.53,142,0.535,2.15,0.552,0,1_17,,0.058823529,0.396
30,33,120_553,OK,1.6,146,0.617,2.33,0.633,0,120_553,,0.217,0.282
31,34,7_15,OK,1.5,149,0.317,1.9,0.333,0,7_15,,0.466666667,0.374
32,35,16_25,OK,1.53,152,0.117,1.77,0.133,0,16_25,,0.64,0.11
33,36,11_12,OK,1.47,155,0.383,2.15,0.4,0,11_12,,0.916666667,0.207
34,37,11_35,OK,1.25,158,0.767,2.25,0.783,0,11_35,,0.314285714,0.311
35,38,703_891,OK,1.3,161,0.299,1.73,0.318,0,703_891,,0.789,0.381
36,39,3_8,OK,1.83,164,0.335,2.23,0.352,0,3_8,,0.375,0.463
37,40,4_5,OK,2.3,168,0.468,2.79,0.485,0,4_5,,0.8,0.16
38,41,10_13,OK,1.73,174,0.634,2.47,0.65,0,10_13,,0.769230769,0.299
39,42,1_6,OK,2.5,178,0.319,2.92,0.333,0,1_6,,0.166666667,0.217
40,43,10_19,OK,2.81,182,0.434,3.53,0.451,0,10_19,,0.526315789,0.246
41,44,1_9,ERR_TooSlowInstantaneous,0,186,0.47,3.76,0.485,0,1_9,,0.111111111,N/A
42,6,11_12,OK,1.73,194,0.034,1.92,0.0505,0,11_12,,0.916666667,0.124
43,8,3_8,ERR_FingerLifted,0,196,0.55,3.77,0.567,0,3_8,,0.375,N/A
44,11,10_19,OK,1.77,203,0.367,2.35,0.383,0,10_19,,0.526315789,0.301
45,17,1_9,OK,1.95,207,0.45,2.52,0.467,0,1_9,,0.111111111,0.374
46,44,1_9,OK,2.53,210,0.316,2.95,0.333,0,1_9,,0.111111111,0.301
47,45,28_109,ERR_FingerLifted,0,214,0.336,3.26,0.353,0,28_109,,0.256880734,N/A
48,10,1_9,OK,2.23,223,0.634,2.97,0.65,0,1_9,,0.111111111,0.376
49,45,28_109,OK,2.4,228,0.535,3.25,0.552,0,28_109,,0.256880734,0.336
50,8,3_8,OK,2.73,234,0.502,3.54,0.517,0,3_8,,0.375,0.396
51,46,291_491,OK,2.33,239,0.536,3.18,0.552,0,291_491,,0.592668024,0.536
