trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,ERR_TooSlowInstantaneous,0,11.5,0.8,7.42,0.816,0,16_25,,0.64,N/A
2,3,120_553,OK,3.35,20.2,0.517,4.15,0.533,0,120_553,,0.217,0.267
3,4,28_109,OK,3.12,25.5,0.2,3.45,0.217,0,28_109,,0.256880734,0.244
4,5,4_5,OK,2.63,30,0.433,3.25,0.45,0,4_5,,0.8,0.804
5,6,11_12,OK,1.77,34.1,0.4,2.32,0.416,0,11_12,,0.916666667,0.9
6,7,11_35,ERR_TooSlowInstantaneous,0,37.4,0.335,4.85,0.349,0,11_35,,0.314285714,N/A
7,8,3_8,OK,3.08,43.6,0.5,3.68,0.516,0,3_8,,0.375,0.244
8,9,7_15,OK,3.9,48.3,0.534,4.66,0.55,0,7_15,,0.466666667,0.417
9,10,1_9,OK,2.7,54,0.267,3.12,0.283,0,1_9,,0.111111111,0.2
10,11,10_19,ERR_TooSlowInstantaneous,0,58.1,0.35,4.82,0.367,0,10_19,,0.526315789,N/A
11,12,703_891,OK,2.41,64,0.518,3.12,0.533,0,703_891,,0.789,0.704
12,13,1_17,OK,2.6,68.4,0.0177,2.85,0.0336,0,1_17,,0.058823529,0.0861
13,14,291_491,OK,2,72.3,0.567,2.72,0.583,0,291_491,,0.592668024,0.506
14,15,10_13,OK,2.37,76,0.417,2.85,0.433,0,10_13,,0.769230769,0.779
15,16,1_6,OK,3.23,79.9,0.283,3.76,0.3,0,1_6,,0.166666667,0.186
16,17,1_9,OK,2.23,84.7,0.534,2.95,0.55,0,1_9,,0.111111111,0.0861
17,18,10_19,OK,3.51,88.7,0.383,4.03,0.4,0,10_19,,0.526315789,0.369
18,19,10_13,OK,2.5,93.7,0.384,3.02,0.4,0,10_13,,0.769230769,0.761
19,20,28_109,OK,2.55,97.6,0.327,3.04,0.343,0,28_109,,0.256880734,0.0806
20,21,16_25,ERR_TooSlowInstantaneous,0,102,0.29,5.14,0.306,0,16_25,,0.64,N/A
21,22,7_15,OK,2.36,108,0.333,2.75,0.35,0,7_15,,0.466666667,0.407
22,23,11_12,OK,1.68,112,0.334,2.12,0.35,0,11_12,,0.916666667,0.883
23,24,1_17,OK,1.58,115,0.433,2.15,0.449,0,1_17,,0.058823529,0.158
24,25,120_553,OK,2.17,118,0.463,2.72,0.484,0,120_553,,0.217,0.124
25,26,11_35,OK,2.25,122,0.417,2.75,0.433,0,11_35,,0.314285714,0.342
26,27,1_6,OK,2.58,126,0.367,3.03,0.383,0,1_6,,0.166666667,0.228
27,28,4_5,OK,1.78,130,0.401,2.27,0.417,0,4_5,,0.8,0.872
28,29,3_8,OK,2.38,133,0.3,2.83,0.316,0,3_8,,0.375,0.292
29,30,291_491,OK,1.65,136,0.167,2.08,0.183,0,291_491,,0.592668024,0.506
30,31,703_891,OK,2.75,139,0.234,3.1,0.25,0,703_891,,0.789,0.772
31,32,1_17,OK,2.26,144,0.0174,2.38,0.0337,0,1_17,,0.058823529,0.0417
32,33,120_553,OK,2.38,147,0.467,3.15,0.483,0,120_553,,0.217,0.203
33,34,7_15,OK,2.28,151,0.384,2.83,0.4,0,7_15,,0.466666667,0.367
34,35,16_25,OK,2.03,155,0.333,2.52,0.35,0,16_25,,0.64,0.318
35,36,11_12,OK,1.57,158,0.217,1.95,0.233,0,11_12,,0.916666667,0.882
36,37,11_35,OK,3.46,161,0.317,3.87,0.333,0,11_35,,0.314285714,0.306
37,38,703_891,OK,2.08,166,0.283,2.45,0.3,0,703_891,,0.789,0.739
38,39,3_8,OK,2.23,169,0.151,2.52,0.167,0,3_8,,0.375,0.299
39,40,4_5,OK,2.35,173,0.0505,2.65,0.0697,0,4_5,,0.8,0.815
40,41,10_13,OK,2.13,176,0.267,2.52,0.284,0,10_13,,0.769230769,0.828
41,42,1_6,OK,2.44,180,0.193,2.73,0.22,0,1_6,,0.166666667,0.181
42,43,10_19,ERR_TooSlowInstantaneous,0,183,0.0508,2.3,0.0665,0,10_19,,0.526315789,N/A
43,44,1_9,ERR_TooSlowInstantaneous,0,188,0.467,2.17,0.483,0,1_9,,0.111111111,N/A
44,45,28_109,ERR_TooSlowInstantaneous,0,191,0.3,2.62,0.317,0,28_109,,0.256880734,N/A
45,46,291_491,OK,1.5,196,0.217,1.87,0.233,0,291_491,,0.592668024,0.511
46,2,16_25,OK,1.43,198,0.217,1.72,0.233,0,16_25,,0.64,0.297
47,7,11_35,OK,1.97,201,0.184,2.27,0.2,0,11_35,,0.314285714,0.133
48,11,10_19,OK,2.2,204,0.134,2.43,0.15,0,10_19,,0.526315789,0.329
49,21,16_25,OK,1.9,207,0.0335,2.02,0.0499,0,16_25,,0.64,0.414
50,43,10_19,OK,1.33,210,0.152,1.57,0.167,0,10_19,,0.526315789,0.293
51,44,1_9,ERR_TooSlowInstantaneous,0,213,0.278,2.24,0.312,0,1_9,,0.111111111,N/A
52,45,28_109,OK,2.18,216,0.317,2.68,0.333,0,28_109,,0.256880734,0.164
53,44,1_9,OK,2.01,220,0.204,2.32,0.216,0,1_9,,0.111111111,0.169
