trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,OK,2.58,11.1,0.734,3.47,0.75,0:258,0,65321,65321,6.13e+04
2,3,11730,OK,1.73,15.3,0.234,2.12,0.25,0:258,0,11730,11730,8.61e+03
3,4,73954,ERR_TooSlowInstantaneous,0,18.3,0.218,3.4,0.233,0:258,0,73954,73954,N/A
4,5,92855,OK,1.68,26.4,0.217,2,0.233,0:258,0,92855,92855,8.26e+04
5,6,25731,OK,1.7,29.1,0.167,1.95,0.184,0:258,0,25731,25731,1.42e+04
6,7,16542,OK,1.9,31.7,0.184,2.22,0.2,0:258,0,16542,16542,8.89e+03
7,8,37828,OK,1.31,34.7,0.201,1.65,0.217,0:258,0,37828,37828,2.38e+04
8,9,59374,OK,1.67,37.2,0.194,2.05,0.206,0:258,0,59374,59374,5.86e+04
9,10,49743,OK,1.4,40,0.167,1.7,0.183,0:258,0,49743,49743,4.04e+04
10,11,5882,OK,1.55,42.6,0.25,1.93,0.267,0:258,0,5882,5882,5.71e+04
11,12,47765,OK,1.73,45.3,0.25,2.08,0.267,0:258,0,47765,47765,4.28e+04
12,13,11328,OK,1.78,48.1,0.183,2.18,0.2,0:258,0,11328,11328,7.08e+03
13,14,83425,OK,1.85,51.3,0.183,2.08,0.2,0:258,0,83425,83425,8.81e+04
14,15,32319,OK,1.8,54.3,0.261,2.28,0.277,0:258,0,32319,32319,9.31e+03
15,16,76921,OK,2.07,57.5,0.167,2.35,0.183,0:258,0,76921,76921,7.75e+04
16,17,25731,OK,1.72,60.6,0.201,2.08,0.217,0:258,0,25731,25731,8.61e+03
17,18,65321,OK,1.55,63.5,0.185,1.9,0.2,0:258,0,65321,65321,6.11e+04
18,19,16542,OK,1.77,66.2,0.201,2.13,0.217,0:258,0,16542,16542,5.56e+03
19,20,92855,OK,1.95,69.2,0.118,2.15,0.133,0:258,0,92855,92855,8.88e+04
20,21,32319,OK,1.73,72.2,0.15,2.1,0.167,0:258,0,32319,32319,1.85e+04
21,22,49743,OK,1.58,75.1,0.217,1.93,0.233,0:258,0,49743,49743,4.88e+04
22,23,47765,OK,1.58,78,0.118,1.85,0.133,0:258,0,47765,47765,4.43e+04
23,24,11328,OK,2.02,80.7,0.267,2.45,0.283,0:258,0,11328,11328,5e+03
24,25,59374,OK,1.88,84.1,0.209,2.19,0.225,0:258,0,59374,59374,5.79e+04
25,26,11730,OK,1.75,87,0.184,2.07,0.2,0:258,0,11730,11730,4.58e+03
26,27,5882,OK,2.35,90,0.217,2.67,0.233,0:258,0,5882,5882,139
27,28,76921,OK,1.8,94.2,0.117,2.1,0.134,0:258,0,76921,76921,7.76e+04
28,29,83425,OK,1.68,97,0.19,1.97,0.206,0:258,0,83425,83425,9.11e+04
29,30,73954,OK,1.4,99.7,0.168,1.8,0.184,0:258,0,73954,73954,7.21e+04
30,31,37828,OK,1.87,102,0.184,2.15,0.2,0:258,0,37828,37828,3.12e+04
31,32,49743,OK,1.48,106,0.217,1.82,0.234,0:258,0,49743,49743,4.56e+04
32,33,16542,OK,1.94,108,0.167,2.28,0.184,0:258,0,16542,16542,8.47e+03
33,34,32319,OK,1.65,111,0.167,1.95,0.184,0:258,0,32319,32319,2.13e+04
34,35,37828,OK,1.42,114,0.184,1.73,0.2,0:258,0,37828,37828,2.99e+04
35,36,25731,OK,1.66,117,0.118,1.95,0.134,0:258,0,25731,25731,1.38e+04
36,37,47765,OK,1.53,120,0.184,1.95,0.2,0:258,0,47765,47765,4.33e+04
37,38,92855,OK,1.88,122,0.167,2.25,0.184,0:258,0,92855,92855,8.96e+04
38,39,11730,OK,1.75,125,0.233,2.18,0.25,0:258,0,11730,11730,1.07e+04
39,40,11328,OK,1.9,128,0.184,2.23,0.2,0:258,0,11328,11328,3.19e+03
40,41,65321,OK,1.72,132,0.15,2.08,0.167,0:258,0,65321,65321,6.03e+04
41,42,76921,OK,1.42,134,0.267,1.87,0.283,0:258,0,76921,76921,7.5e+04
42,43,5882,OK,1.58,137,0.217,2.07,0.234,0:258,0,5882,5882,5.38e+04
43,44,59374,OK,1.9,147,0.6,2.65,0.617,0:258,0,59374,59374,5.6e+04
44,45,83425,OK,1.67,151,0.228,2.04,0.246,0:258,0,83425,83425,8.06e+04
45,46,73954,OK,1.05,154,0.249,1.45,0.278,0:258,0,73954,73954,7.32e+04
46,4,73954,OK,1.27,156,0.233,1.7,0.249,0:258,0,73954,73954,7.71e+04
