trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.52,OK,1,12.5,0.017,1.13,0.0332,0:258,0,0.52,0.52,0.111
2,3,0.11,OK,0.834,15.6,0.218,1.15,0.235,0:258,0,0.11,0.11,0.00417
3,4,0.08,OK,0.934,19.3,0.117,1.17,0.134,0:258,0,0.08,0.08,0.211
4,5,0.68,OK,0.899,22,0.153,1.17,0.169,0:258,0,0.68,0.68,0.65
5,6,0.47,OK,0.934,24.4,0.067,1.17,0.0836,0:258,0,0.47,0.47,0.507
6,7,0.61,OK,0.916,26.6,0.119,1.15,0.135,0:258,0,0.61,0.61,0.744
7,8,0.89,OK,0.966,28.8,0.0862,1.18,0.101,0:258,0,0.89,0.89,0.919
8,9,0.98,OK,0.9,31,0.0845,1.12,0.102,0:258,0,0.98,0.98,0.969
9,10,0.17,OK,0.983,33.1,0.0172,1.13,0.0333,0:258,0,0.17,0.17,0.124
10,11,0.43,OK,1.02,35.2,0.0169,1.13,0.0331,0:258,0,0.43,0.43,0.464
11,12,0.92,OK,0.886,38.4,0.185,1.35,0.201,0:258,0,0.92,0.92,0.961
12,13,0.03,OK,0.851,40.5,0.133,1.1,0.15,0:258,0,0.03,0.03,0.0806
13,14,0.32,OK,1.05,42.6,0.0171,1.18,0.0334,0:258,0,0.32,0.32,0.225
14,15,0.24,OK,1.05,44.7,0.135,1.27,0.151,0:258,0,0.24,0.24,0.0903
15,16,0.56,OK,0.932,46.8,0.101,1.1,0.118,0:258,0,0.56,0.56,0.526
16,17,0.85,OK,0.749,49.8,0.252,1.15,0.267,0:258,0,0.85,0.85,0.797
17,18,0.77,OK,1.15,51.7,0.117,1.42,0.133,0:258,0,0.77,0.77,0.731
18,19,0.73,OK,0.769,53.9,0.117,1.02,0.133,0:258,0,0.73,0.73,0.674
19,20,0.35,OK,0.916,55.8,0.119,1.13,0.134,0:258,0,0.35,0.35,0.239
