trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.323,ERR_TooSlowGlobal,0,10.1,0.167,0.484,0.183,0:258,0,0.323,0.323,N/A
2,3,0.739,OK,1.22,12.3,0.5,1.8,0.517,0:258,0,0.739,0.739,0.703
3,4,0.506,ERR_FingerLifted,0,16.5,0.234,2.27,0.25,0:258,0,0.506,0.506,N/A
4,5,0.167,OK,1.12,21.2,0.267,1.47,0.283,0:258,0,0.167,0.167,0.151
5,6,0.111,OK,1.22,24.1,0.0332,1.38,0.0502,0:258,0,0.111,0.111,0.138
6,7,0.059,OK,1.32,26.5,0.334,1.83,0.351,0:258,0,0.059,0.059,0.0681
7,8,0.834,OK,1.58,29.2,0.25,1.97,0.266,0:258,0,0.834,0.834,0.86
8,9,0.769,OK,1.03,32.3,0.151,1.27,0.167,0:258,0,0.769,0.769,0.775
9,10,0.378,OK,1.37,34.5,0.199,1.7,0.216,0:258,0,0.378,0.378,0.235
10,11,0.257,OK,1.47,37.2,0.167,1.7,0.184,0:258,0,0.257,0.257,0.112
11,12,0.117,OK,1.37,41.9,0.184,1.7,0.2,0:258,0,0.117,0.117,0.0889
12,13,0.593,OK,1.07,44.6,0.217,1.32,0.233,0:258,0,0.593,0.593,0.558
13,14,0.475,OK,1.15,47,0.151,1.4,0.167,0:258,0,0.475,0.475,0.361
14,15,0.653,OK,1.25,49.4,0.184,1.55,0.2,0:258,0,0.653,0.653,0.699
15,16,0.928,OK,1.22,51.9,0.234,1.57,0.251,0:258,0,0.928,0.928,0.897
16,17,0.257,OK,1.35,54.4,0.167,1.67,0.183,0:258,0,0.257,0.257,0.157
17,18,0.475,OK,1.3,57,0.151,1.49,0.166,0:258,0,0.475,0.475,0.428
18,19,0.506,OK,1.1,59.6,0.167,1.4,0.183,0:258,0,0.506,0.506,0.718
19,20,0.653,OK,1.03,62,0.1,1.23,0.116,0:258,0,0.653,0.653,0.701
20,21,0.593,OK,1.13,64.2,0.133,1.35,0.15,0:258,0,0.593,0.593,0.543
21,22,0.167,OK,1.37,66.6,0.0178,1.52,0.0341,0:258,0,0.167,0.167,0.16
22,23,0.111,OK,1.28,69,0.134,1.5,0.15,0:258,0,0.111,0.111,0.111
23,24,0.834,OK,1.3,71.6,0.3,1.66,0.316,0:258,0,0.834,0.834,0.843
24,25,0.739,OK,1.05,74.3,0.117,1.2,0.133,0:258,0,0.739,0.739,0.765
25,26,0.059,OK,1.45,76.7,0.117,1.68,0.134,0:258,0,0.059,0.059,0.0972
26,27,0.378,OK,1.98,79.4,0.167,2.27,0.184,0:258,0,0.378,0.378,0.206
27,28,0.117,OK,1.27,83.7,0.233,1.63,0.25,0:258,0,0.117,0.117,0.0833
28,29,0.769,OK,1.65,86.4,0.133,1.9,0.15,0:258,0,0.769,0.769,0.779
29,30,0.928,OK,1.23,89.6,0.117,1.55,0.134,0:258,0,0.928,0.928,0.926
30,31,0.323,OK,1.73,92.2,0.144,2.01,0.161,0:258,0,0.323,0.323,0.21
31,32,0.167,OK,1.42,95.3,0.118,1.68,0.134,0:258,0,0.167,0.167,0.0847
32,33,0.111,OK,1.42,98,0.167,1.72,0.183,0:258,0,0.111,0.111,0.101
33,34,0.323,OK,1.37,101,0.141,1.59,0.158,0:258,0,0.323,0.323,0.244
34,35,0.653,OK,1.18,105,0.217,1.47,0.234,0:258,0,0.653,0.653,0.643
35,36,0.769,OK,1.13,107,0.2,1.45,0.217,0:258,0,0.769,0.769,0.782
36,37,0.257,OK,1.47,110,0.133,1.72,0.149,0:258,0,0.257,0.257,0.165
37,38,0.378,OK,1.28,113,0.0175,1.37,0.0338,0:258,0,0.378,0.378,0.237
38,39,0.593,OK,1.27,115,0.266,1.65,0.283,0:258,0,0.593,0.593,0.493
39,40,0.059,OK,1.61,118,0.152,1.9,0.175,0:258,0,0.059,0.059,0.0486
40,41,0.475,OK,1.4,121,0.216,1.7,0.233,0:258,0,0.475,0.475,0.333
41,42,0.739,OK,1.23,124,0.201,1.63,0.217,0:258,0,0.739,0.739,0.7
42,43,0.928,OK,1.23,127,0.0165,1.37,0.0333,0:258,0,0.928,0.928,0.917
43,44,0.506,OK,1.23,132,0.4,1.7,0.417,0:258,0,0.506,0.506,0.522
44,45,0.834,ERR_TooSlowInstantaneous,0,135,0.234,1.77,0.25,0:258,0,0.834,0.834,N/A
45,46,0.117,OK,1.55,139,0.45,2.12,0.467,0:258,0,0.117,0.117,0.117
46,2,0.323,OK,1.45,142,0.254,1.77,0.275,0:258,0,0.323,0.323,0.246
47,4,0.506,ERR_FingerLifted,0,145,0.0832,2.65,0.0997,0:258,0,0.506,0.506,N/A
48,45,0.834,OK,1.27,148,0.75,2.08,0.766,0:258,0,0.834,0.834,0.8
49,4,0.506,OK,1.03,151,0.201,1.35,0.217,0:258,0,0.506,0.506,0.512
