trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,3.63,10.7,0.383,4.25,0.4,0,16_25,,0.64,0.425
2,3,120_553,ERR_TooSlowInstantaneous,0,16.3,0.237,2.59,0.252,0,120_553,,0.217,N/A
3,4,28_109,OK,1.65,20.4,0.185,1.95,0.201,0,28_109,,0.256880734,0.208
4,5,4_5,OK,1.65,23.2,0.167,1.92,0.183,0,4_5,,0.8,0.817
5,6,11_12,OK,1.52,26.1,0.134,1.78,0.15,0,11_12,,0.916666667,0.871
6,7,11_35,OK,2.08,28.8,0.0858,2.25,0.102,0,11_35,,0.314285714,0.346
7,8,3_8,OK,2.2,32,0.183,2.5,0.2,0,3_8,,0.375,0.394
8,9,7_15,OK,2.2,35.4,0.134,2.64,0.151,0,7_15,,0.466666667,0.675
9,10,1_9,ERR_TooSlowInstantaneous,0,39.1,0.118,1.73,0.134,0,1_9,,0.111111111,N/A
10,11,10_19,OK,2.05,42.2,0.133,2.33,0.15,0,10_19,,0.526315789,0.747
11,12,703_891,OK,1.92,45.4,0.134,2.18,0.15,0,703_891,,0.789,0.867
12,13,1_17,OK,1.57,50.2,0.151,1.83,0.167,0,1_17,,0.058823529,0.142
13,14,291_491,OK,1.9,52.8,0.169,2.18,0.185,0,291_491,,0.592668024,0.562
14,15,10_13,OK,1.95,56.1,0.169,2.22,0.185,0,10_13,,0.769230769,0.847
15,16,1_6,OK,2.13,59.2,0.151,2.43,0.167,0,1_6,,0.166666667,0.125
16,17,1_9,OK,1.78,63.8,0.218,2.27,0.235,0,1_9,,0.111111111,0.119
17,18,10_19,OK,1.5,67.1,0.467,2.29,0.483,0,10_19,,0.526315789,0.539
18,19,10_13,OK,1.4,70.5,0.234,1.7,0.25,0,10_13,,0.769230769,0.861
19,20,28_109,OK,1.97,73,0.134,2.18,0.151,0,28_109,,0.256880734,0.217
20,21,16_25,OK,2.3,76.1,0.333,2.94,0.35,0,16_25,,0.64,0.578
21,22,7_15,OK,2.18,81.6,0.335,2.7,0.352,0,7_15,,0.466666667,0.685
22,23,11_12,OK,1.47,85.1,0.184,1.82,0.2,0,11_12,,0.916666667,0.9
23,24,1_17,OK,1.97,88,0.151,2.3,0.167,0,1_17,,0.058823529,0.115
24,25,120_553,OK,1.85,91.6,0.251,2.18,0.267,0,120_553,,0.217,0.142
25,26,11_35,OK,2.58,94.8,0.518,3.28,0.534,0,11_35,,0.314285714,0.206
26,27,1_6,OK,1.8,99,0.25,2.15,0.266,0,1_6,,0.166666667,0.142
27,28,4_5,OK,1.85,102,0.116,2.13,0.133,0,4_5,,0.8,0.843
28,29,3_8,OK,1.65,105,0.15,1.88,0.167,0,3_8,,0.375,0.342
29,30,291_491,ERR_TooSlowInstantaneous,0,108,0.199,2.64,0.216,0,291_491,,0.592668024,N/A
30,31,703_891,OK,1.5,112,0.134,1.83,0.151,0,703_891,,0.789,0.875
31,32,1_17,OK,1.58,115,0.166,1.9,0.182,0,1_17,,0.058823529,0.0833
32,33,120_553,OK,1.55,118,0.269,1.86,0.285,0,120_553,,0.217,0.217
33,34,7_15,OK,1.73,121,0.117,1.92,0.134,0,7_15,,0.466666667,0.697
34,35,16_25,ERR_FingerLifted,0,124,0.283,4.14,0.3,0,16_25,,0.64,N/A
35,36,11_12,OK,1.56,129,0.187,1.85,0.201,0,11_12,,0.916666667,0.907
36,37,11_35,OK,2.43,132,0.15,2.58,0.166,0,11_35,,0.314285714,0.34
37,38,703_891,OK,1.8,136,0.353,2.25,0.369,0,703_891,,0.789,0.889
38,39,3_8,ERR_TooSlowInstantaneous,0,140,0.1,1.37,0.117,0,3_8,,0.375,N/A
39,40,4_5,OK,1.53,142,0.118,1.77,0.134,0,4_5,,0.8,0.911
40,41,10_13,OK,1.87,146,0.168,2.1,0.184,0,10_13,,0.769230769,0.861
41,42,1_6,OK,1.61,150,0.119,1.83,0.134,0,1_6,,0.166666667,0.147
42,43,10_19,OK,2.22,152,0.168,2.55,0.185,0,10_19,,0.526315789,0.725
43,44,1_9,ERR_TooSlowInstantaneous,0,156,0.101,0.982,0.117,0,1_9,,0.111111111,N/A
44,45,28_109,OK,1.97,158,0.152,2.22,0.168,0,28_109,,0.256880734,0.206
45,46,291_491,OK,1.64,161,0.183,1.9,0.2,0,291_491,,0.592668024,0.711
46,3,120_553,OK,2.03,164,0.101,2.2,0.118,0,120_553,,0.217,0.275
47,10,1_9,OK,2.05,168,0.171,2.38,0.186,0,1_9,,0.111111111,0.193
48,30,291_491,OK,2.13,171,0.254,2.52,0.269,0,291_491,,0.592668024,0.644
49,35,16_25,OK,2.29,174,0.183,2.57,0.2,0,16_25,,0.64,0.794
50,39,3_8,OK,1.52,178,0.102,1.62,0.117,0,3_8,,0.375,0.369
51,44,1_9,OK,1.42,181,0.368,1.87,0.383,0,1_9,,0.111111111,0.126
