trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.323,OK,3.55,8.55,0.504,4.2,0.518,0:258,0,0.323,0.323,0.174
2,3,0.739,OK,2.78,13.8,0.252,3.22,0.267,0:258,0,0.739,0.739,0.815
3,4,0.506,OK,2.25,17.9,0.201,2.53,0.217,0:258,0,0.506,0.506,0.511
4,5,0.167,ERR_TooSlowInstantaneous,0,21.4,0.217,3.17,0.234,0:258,0,0.167,0.167,N/A
5,6,0.111,OK,2.28,26.5,0.217,2.63,0.234,0:258,0,0.111,0.111,0.05
6,7,0.059,OK,4.93,33.4,0.151,5.3,0.166,0:258,0,0.059,0.059,0.0167
7,8,0.834,OK,2.52,39.8,0.135,2.78,0.151,0:258,0,0.834,0.834,0.863
8,9,0.769,OK,2.41,43.7,0.169,2.72,0.185,0:258,0,0.769,0.769,0.839
9,10,0.378,OK,2.42,47.2,0.166,2.73,0.183,0:258,0,0.378,0.378,0.169
10,11,0.257,OK,1.93,51,0.168,2.27,0.184,0:258,0,0.257,0.257,0.0944
11,12,0.117,ERR_TooSlowInstantaneous,0,54.1,0.2,1.81,0.216,0:258,0,0.117,0.117,N/A
12,13,0.593,OK,2.23,57.9,0.135,2.5,0.151,0:258,0,0.593,0.593,0.55
13,14,0.475,OK,2.55,61.3,0.202,2.9,0.216,0:258,0,0.475,0.475,0.419
14,15,0.653,OK,2.3,65.1,0.136,2.68,0.151,0:258,0,0.653,0.653,0.621
15,16,0.928,OK,3.18,68.6,0.151,3.48,0.168,0:258,0,0.928,0.928,0.864
16,17,0.257,OK,3.63,72.9,0.102,3.82,0.118,0:258,0,0.257,0.257,0.128
17,18,0.475,ERR_TooSlowInstantaneous,0,77.9,0.1,2.76,0.117,0:258,0,0.475,0.475,N/A
18,19,0.506,OK,1.9,82.1,0.136,2.18,0.152,0:258,0,0.506,0.506,0.517
19,20,0.653,OK,2.18,85.2,0.17,2.5,0.186,0:258,0,0.653,0.653,0.626
20,21,0.593,OK,2.28,88.5,0.0675,2.55,0.0847,0:258,0,0.593,0.593,0.533
21,22,0.167,OK,2.52,93.4,0.267,2.93,0.283,0:258,0,0.167,0.167,0.0833
22,23,0.111,OK,1.97,97.3,0.185,2.37,0.202,0:258,0,0.111,0.111,0.0264
23,24,0.834,OK,2.42,101,0.134,2.72,0.15,0:258,0,0.834,0.834,0.849
24,25,0.739,OK,1.83,104,0.119,2.12,0.135,0:258,0,0.739,0.739,0.728
25,26,0.059,OK,2.7,107,0.151,3.05,0.168,0:258,0,0.059,0.059,-0.00556
26,27,0.378,OK,2.27,111,0.2,2.65,0.216,0:258,0,0.378,0.378,0.164
27,28,0.117,ERR_InvalidAngle,0,115,0.116,1.34,0.134,0:258,0,0.117,0.117,N/A
28,29,0.769,OK,2.75,120,0.168,3.23,0.185,0:258,0,0.769,0.769,0.828
29,30,0.928,OK,1.85,124,0.0365,2.07,0.0506,0:258,0,0.928,0.928,0.886
30,31,0.323,OK,2.23,127,0.101,2.52,0.117,0:258,0,0.323,0.323,0.133
31,32,0.167,OK,1.78,131,0.0834,2,0.0997,0:258,0,0.167,0.167,0.0597
32,33,0.111,OK,1.65,134,0.135,1.95,0.15,0:258,0,0.111,0.111,0.0306
33,34,0.323,OK,1.95,137,0.134,2.27,0.15,0:258,0,0.323,0.323,0.217
34,35,0.653,OK,2.22,141,0.236,2.58,0.252,0:258,0,0.653,0.653,0.606
35,36,0.769,OK,1.9,145,0.117,2.12,0.133,0:258,0,0.769,0.769,0.715
36,37,0.257,OK,1.98,148,0.137,2.28,0.151,0:258,0,0.257,0.257,0.139
37,38,0.378,OK,2.23,151,0.0837,2.45,0.101,0:258,0,0.378,0.378,0.283
38,39,0.593,OK,1.77,154,0.1,1.97,0.118,0:258,0,0.593,0.593,0.586
39,40,0.059,OK,2.22,157,0.102,2.48,0.118,0:258,0,0.059,0.059,-0.00278
40,41,0.475,OK,2.25,160,0.0669,2.55,0.0827,0:258,0,0.475,0.475,0.294
41,42,0.739,OK,2.23,165,0.136,2.48,0.152,0:258,0,0.739,0.739,0.789
42,43,0.928,OK,1.97,169,0.136,2.3,0.151,0:258,0,0.928,0.928,0.889
43,44,0.506,OK,1.57,172,0.136,1.83,0.151,0:258,0,0.506,0.506,0.517
44,45,0.834,OK,2.27,175,0.234,2.67,0.25,0:258,0,0.834,0.834,0.749
45,46,0.117,OK,2.26,178,0.185,2.62,0.202,0:258,0,0.117,0.117,0.075
46,5,0.167,OK,2.3,184,0.268,2.73,0.285,0:258,0,0.167,0.167,0.0556
47,12,0.117,OK,2.05,187,0.0328,2.27,0.0497,0:258,0,0.117,0.117,0.0278
48,18,0.475,OK,2.23,191,0.15,2.5,0.167,0:258,0,0.475,0.475,0.381
49,28,0.117,OK,2.43,194,0.134,2.83,0.15,0:258,0,0.117,0.117,0.0306
