trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,4.71,10.1,0.434,5.33,0.45,0,16_25,,0.64,0.324
2,3,120_553,OK,4.07,17.6,0.184,4.4,0.2,0,120_553,,0.217,0.565
3,4,28_109,OK,3.9,23.5,0.186,4.23,0.201,0,28_109,,0.256880734,0.271
4,5,4_5,OK,4.65,28.8,0.136,4.93,0.152,0,4_5,,0.8,0.781
5,6,11_12,OK,2.65,34.6,0.186,2.98,0.202,0,11_12,,0.916666667,0.929
6,7,11_35,OK,3.83,38.3,0.134,4.1,0.15,0,11_35,,0.314285714,0.306
7,8,3_8,OK,2.82,43.3,0.1,3.05,0.118,0,3_8,,0.375,0.324
8,9,7_15,OK,2.43,47.2,0.135,2.77,0.152,0,7_15,,0.466666667,0.329
9,10,1_9,OK,1.82,50.7,0.118,2.1,0.136,0,1_9,,0.111111111,0.0653
10,11,10_19,ERR_TooSlowInstantaneous,0,53.6,0.102,3.47,0.119,0,10_19,,0.526315789,N/A
11,12,703_891,OK,2.5,58.5,0.169,2.78,0.185,0,703_891,,0.789,0.785
12,13,1_17,OK,2.05,62.1,0.0838,2.28,0.101,0,1_17,,0.058823529,0.0153
13,14,291_491,OK,3.45,65.2,0.0836,3.82,0.0999,0,291_491,,0.592668024,0.596
14,15,10_13,OK,2.52,69.8,0.101,2.73,0.117,0,10_13,,0.769230769,0.771
15,16,1_6,OK,2.37,73.3,0.117,2.6,0.136,0,1_6,,0.166666667,0.0194
16,17,1_9,OK,2.48,76.7,0.135,2.73,0.151,0,1_9,,0.111111111,0.0375
17,18,10_19,OK,3.25,81.8,0.285,3.56,0.302,0,10_19,,0.526315789,0.596
18,19,10_13,OK,2.57,86.3,0.15,2.85,0.166,0,10_13,,0.769230769,0.767
19,20,28_109,OK,2.75,90,0.084,3,0.102,0,28_109,,0.256880734,0.126
20,21,16_25,OK,2.6,93.8,0.119,2.85,0.136,0,16_25,,0.64,0.718
21,22,7_15,OK,1.9,97.3,0.152,2.2,0.168,0,7_15,,0.466666667,0.385
22,23,11_12,OK,2.22,100,0.1,2.47,0.117,0,11_12,,0.916666667,0.918
23,24,1_17,OK,1.82,104,0.117,2.07,0.133,0,1_17,,0.058823529,0.0292
24,25,120_553,OK,2.83,108,0.168,3.18,0.185,0,120_553,,0.217,0.0847
25,26,11_35,OK,2.33,112,0.101,2.62,0.118,0,11_35,,0.314285714,0.197
26,27,1_6,OK,1.88,115,0.117,2.13,0.134,0,1_6,,0.166666667,0.0875
27,28,4_5,OK,1.77,118,0.0835,1.98,0.0998,0,4_5,,0.8,0.842
28,29,3_8,OK,2.07,121,0.117,2.32,0.135,0,3_8,,0.375,0.326
29,30,291_491,OK,2.28,124,0.0505,2.5,0.0669,0,291_491,,0.592668024,0.746
30,31,703_891,OK,1.92,127,0.119,2.17,0.135,0,703_891,,0.789,0.814
31,32,1_17,OK,1.92,130,0.101,2.17,0.119,0,1_17,,0.058823529,0.025
32,33,120_553,OK,3.28,135,0.252,3.82,0.268,0,120_553,,0.217,0.167
33,34,7_15,OK,2.1,140,0.184,2.42,0.201,0,7_15,,0.466666667,0.388
34,35,16_25,OK,2.55,143,0.118,2.78,0.135,0,16_25,,0.64,0.701
35,36,11_12,OK,2.08,147,0.166,2.33,0.183,0,11_12,,0.916666667,0.897
36,37,11_35,OK,3.63,150,0.118,3.88,0.134,0,11_35,,0.314285714,0.354
37,38,703_891,OK,4.05,155,0.1,4.38,0.117,0,703_891,,0.789,0.811
38,39,3_8,OK,3.48,160,0.0851,3.72,0.102,0,3_8,,0.375,0.153
39,40,4_5,OK,1.97,165,0.119,2.2,0.135,0,4_5,,0.8,0.84
40,41,10_13,ERR_TooSlowInstantaneous,0,167,0.219,4.31,0.236,0,10_13,,0.769230769,N/A
41,42,1_6,OK,1.63,173,0.134,1.88,0.15,0,1_6,,0.166666667,0.0472
42,43,10_19,OK,1.65,176,0.0831,1.85,0.0995,0,10_19,,0.526315789,0.665
43,44,1_9,OK,1.65,178,0.0985,1.83,0.115,0,1_9,,0.111111111,0.103
44,45,28_109,OK,3.28,183,0.235,3.62,0.251,0,28_109,,0.256880734,0.239
45,46,291_491,OK,2.3,187,0.137,2.62,0.154,0,291_491,,0.592668024,0.586
46,11,10_19,ERR_TooSlowInstantaneous,0,191,0.134,2.53,0.15,0,10_19,,0.526315789,N/A
47,41,10_13,OK,2.4,194,0.185,2.73,0.201,0,10_13,,0.769230769,0.647
48,11,10_19,OK,1.75,198,0.117,2.05,0.135,0,10_19,,0.526315789,0.713
