trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,"9,158",OK,3.83,11.1,0.0835,4.24,0.0991,0:258,0,"9,158",9158,8.51e+03
2,3,"4,782",OK,2.11,18.1,0.302,2.67,0.318,0:258,0,"4,782",4782,3.74e+03
3,4,"9,845",OK,1.95,21.7,0.269,2.52,0.284,0:258,0,"9,845",9845,8.85e+03
4,5,"1,751",OK,2.08,25.1,0.233,2.58,0.25,0:258,0,"1,751",1751,833
5,6,"5,312",OK,1.52,28.5,0.2,2.02,0.216,0:258,0,"5,312",5312,5.65e+03
6,7,"8,074",OK,1.62,31.2,0.185,2.08,0.201,0:258,0,"8,074",8074,8.53e+03
7,8,"7,729",OK,1.48,34.1,0.183,1.97,0.199,0:258,0,"7,729",7729,7.58e+03
8,9,"5,886",OK,1.6,38.1,0.252,2.13,0.269,0:258,0,"5,886",5886,6.21e+03
9,10,"6,401",OK,1.91,41.4,0.186,2.41,0.202,0:258,0,"6,401",6401,7.04e+03
10,11,992,OK,1.93,44.8,0.201,2.38,0.218,0:258,0,992,992,639
11,12,"8,906",OK,1.96,48.5,0.186,2.47,0.202,0:258,0,"8,906",8906,8.1e+03
12,13,"6,698",OK,1.53,52,0.219,2.05,0.235,0:258,0,"6,698",6698,6.69e+03
13,14,"4,115",OK,1.58,55.1,0.184,2.05,0.2,0:258,0,"4,115",4115,2.97e+03
14,15,"3,903",OK,1.58,58.1,0.234,2.1,0.251,0:258,0,"3,903",3903,2.42e+03
15,16,"3,274",OK,1.65,61.2,0.149,2.07,0.168,0:258,0,"3,274",3274,2.11e+03
16,17,"2,894",OK,1.58,64.3,0.203,2.02,0.219,0:258,0,"2,894",2894,1.86e+03
17,18,374,OK,1.73,67.2,0.202,2.22,0.217,0:258,0,374,374,444
18,19,"1,023",OK,1.55,70.5,0.184,1.98,0.2,0:258,0,"1,023",1023,931
19,20,"7,264",OK,1.62,73.6,0.168,2.1,0.185,0:258,0,"7,264",7264,7.78e+03
20,21,"2,148",OK,1.58,76.5,0.218,2.05,0.234,0:258,0,"2,148",2148,1.54e+03
21,22,"3,274",OK,1.27,79.5,0.183,1.67,0.2,0:258,0,"3,274",3274,2.64e+03
22,23,"9,845",OK,1.46,82.2,0.152,1.9,0.168,0:258,0,"9,845",9845,8.64e+03
23,24,"2,148",OK,1.45,84.9,0.167,1.85,0.183,0:258,0,"2,148",2148,1.65e+03
24,25,"1,751",OK,1.55,87.6,0.169,2.03,0.184,0:258,0,"1,751",1751,792
25,26,"5,886",OK,1.42,90.5,0.184,1.93,0.199,0:258,0,"5,886",5886,6.21e+03
26,27,"8,074",OK,1.48,93.3,0.185,1.97,0.203,0:258,0,"8,074",8074,8.68e+03
27,28,"1,023",OK,1.52,96.1,0.149,1.92,0.166,0:258,0,"1,023",1023,889
28,29,"4,782",OK,1.61,98.9,0.187,2.08,0.203,0:258,0,"4,782",4782,3.94e+03
29,30,"7,729",OK,1.57,102,0.168,2.03,0.185,0:258,0,"7,729",7729,7.74e+03
30,31,"6,698",OK,1.27,105,0.183,1.73,0.2,0:258,0,"6,698",6698,7.33e+03
31,32,"4,115",OK,1.37,107,0.151,1.77,0.168,0:258,0,"4,115",4115,3.39e+03
32,33,"9,158",OK,1.45,110,0.153,1.9,0.168,0:258,0,"9,158",9158,8.47e+03
33,34,992,OK,1.65,113,0.167,2.1,0.184,0:258,0,992,992,278
34,36,"7,264",OK,1.35,117,0.186,1.85,0.201,0:258,0,"7,264",7264,7.76e+03
35,37,"8,906",OK,1.35,119,0.185,1.85,0.202,0:258,0,"8,906",8906,8.29e+03
36,38,"3,903",OK,1.43,122,0.2,1.88,0.217,0:258,0,"3,903",3903,2.35e+03
37,39,"6,401",OK,1.5,125,0.219,2.03,0.235,0:258,0,"6,401",6401,7.68e+03
38,40,"2,894",OK,1.95,128,0.186,2.42,0.203,0:258,0,"2,894",2894,1.33e+03
39,41,374,OK,1.65,131,0.185,2.12,0.201,0:258,0,374,374,27.8
40,43,"6,401",OK,1.45,135,0.302,2.03,0.318,0:258,0,"6,401",6401,7.06e+03
41,44,"4,115",OK,1.35,138,0.252,1.83,0.268,0:258,0,"4,115",4115,3.5e+03
42,45,"3,903",OK,1.48,141,0.185,1.98,0.201,0:258,0,"3,903",3903,2.54e+03
43,46,"6,698",OK,1.35,144,0.135,1.75,0.153,0:258,0,"6,698",6698,7.58e+03
44,47,"2,148",OK,1.45,147,0.172,1.82,0.187,0:258,0,"2,148",2148,1.12e+03
45,48,992,OK,1.63,149,0.133,2.05,0.149,0:258,0,992,992,250
46,49,"9,158",OK,1.38,153,0.236,1.88,0.252,0:258,0,"9,158",9158,9.11e+03
47,50,"1,751",OK,1.46,156,0.203,1.98,0.219,0:258,0,"1,751",1751,597
48,51,"9,845",OK,1.37,159,0.183,1.87,0.199,0:258,0,"9,845",9845,8.93e+03
49,52,"8,906",OK,1.97,162,0.317,2.59,0.333,0:258,0,"8,906",8906,8.29e+03
50,53,"2,894",OK,1.73,165,0.201,2.2,0.218,0:258,0,"2,894",2894,1.39e+03
51,54,"5,312",OK,1.45,168,0.2,1.95,0.217,0:258,0,"5,312",5312,5.17e+03
52,55,"7,264",OK,1.58,171,0.201,2.09,0.217,0:258,0,"7,264",7264,7.83e+03
53,56,"8,074",OK,1.38,175,0.286,1.95,0.302,0:258,0,"8,074",8074,7.88e+03
54,57,"5,886",OK,1.33,178,0.235,1.88,0.251,0:258,0,"5,886",5886,5.89e+03
55,58,"3,274",OK,1.51,181,0.235,2,0.251,0:258,0,"3,274",3274,2.04e+03
56,59,374,OK,1.57,184,0.152,2.02,0.168,0:258,0,374,374,97.2
57,60,"1,023",OK,1.55,187,0.184,2.04,0.2,0:258,0,"1,023",1023,583
58,61,"4,782",OK,1.5,190,0.199,2,0.216,0:258,0,"4,782",4782,3.03e+03
59,35,"5,312",OK,1.28,192,0.187,1.75,0.201,0:258,0,"5,312",5312,5.26e+03
60,42,"7,729",OK,1.58,196,0.234,2.12,0.25,0:258,0,"7,729",7729,7.64e+03
