trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,4.37,9.01,0.0671,4.68,0.0837,0,16_25,,0.64,0.554
2,3,120_553,OK,4.6,14.6,0.102,4.88,0.118,0,120_553,,0.217,0.303
3,4,28_109,OK,3.42,21.2,0.067,3.72,0.0834,0,28_109,,0.256880734,0.263
4,5,4_5,OK,2.98,25.7,0.0999,3.35,0.118,0,4_5,,0.8,0.79
5,6,11_12,OK,1.87,29.7,0.0667,2.15,0.083,0,11_12,,0.916666667,0.915
6,7,11_35,OK,4.28,32.6,0.0996,4.65,0.116,0,11_35,,0.314285714,0.543
7,8,3_8,OK,2.73,38,0.0679,3.02,0.0836,0,3_8,,0.375,0.401
8,9,7_15,OK,4.97,41.7,0.0843,5.23,0.101,0,7_15,,0.466666667,0.449
9,10,1_9,OK,2.63,47.7,0.0839,2.9,0.1,0,1_9,,0.111111111,0.0806
10,11,10_19,OK,2,51.4,0.0675,2.18,0.0846,0,10_19,,0.526315789,0.499
11,12,703_891,OK,2.73,54.3,0.0506,2.95,0.067,0,703_891,,0.789,0.826
12,13,1_17,OK,2.4,59.1,0.017,2.63,0.0338,0,1_17,,0.058823529,0.0931
13,14,291_491,OK,3.75,63.3,0.0171,3.95,0.0336,0,291_491,,0.592668024,0.565
14,15,10_13,OK,2.28,67.9,0.0674,2.55,0.0841,0,10_13,,0.769230769,0.771
15,16,1_6,OK,1.53,72.1,0.0504,1.77,0.0668,0,1_6,,0.166666667,0.0833
16,17,1_9,OK,1.65,74.6,0.0832,1.88,0.0997,0,1_9,,0.111111111,0.0431
17,18,10_19,ERR_TooSlowInstantaneous,0,77.4,0.067,1.71,0.0832,0,10_19,,0.526315789,N/A
18,19,10_13,OK,2.03,81,0.136,2.3,0.152,0,10_13,,0.769230769,0.779
19,20,28_109,OK,3.03,84,0.0169,3.23,0.0335,0,28_109,,0.256880734,0.257
20,21,16_25,ERR_TooSlowInstantaneous,0,89.6,0.0994,4.3,0.116,0,16_25,,0.64,N/A
21,24,1_17,OK,1.63,98,0.351,2.18,0.368,0,1_17,,0.058823529,0.0653
22,25,120_553,OK,3.58,101,0.202,3.95,0.219,0,120_553,,0.217,0.218
23,26,11_35,OK,3.31,107,0.0836,3.55,0.1,0,11_35,,0.314285714,0.465
24,27,1_6,OK,1.48,111,0.0169,1.7,0.0336,0,1_6,,0.166666667,0.0972
25,28,4_5,OK,1.57,113,0.118,1.82,0.134,0,4_5,,0.8,0.84
26,29,3_8,OK,1.76,116,0.0689,2.03,0.0839,0,3_8,,0.375,0.289
27,30,291_491,OK,2.2,120,0.0831,2.45,0.1,0,291_491,,0.592668024,0.571
28,31,703_891,OK,1.77,125,0.117,2.1,0.134,0,703_891,,0.789,0.874
29,32,1_17,OK,1.75,127,0.151,2.1,0.168,0,1_17,,0.058823529,0.0764
30,33,120_553,OK,3.25,131,0.0505,3.47,0.0669,0,120_553,,0.217,0.225
31,34,7_15,OK,2.03,135,0.0501,2.33,0.0666,0,7_15,,0.466666667,0.453
32,35,16_25,OK,1.83,139,0.101,2.12,0.117,0,16_25,,0.64,0.593
33,36,11_12,OK,2.58,141,0.1,2.92,0.117,0,11_12,,0.916666667,0.89
34,37,11_35,OK,3.35,145,0.12,3.68,0.135,0,11_35,,0.314285714,0.45
35,38,703_891,OK,2.98,150,0.0683,3.28,0.0846,0,703_891,,0.789,0.851
36,39,3_8,OK,2.73,154,0.135,3.08,0.15,0,3_8,,0.375,0.435
37,40,4_5,OK,1.52,158,0.0839,1.82,0.1,0,4_5,,0.8,0.85
38,41,10_13,OK,1.63,162,0.152,1.95,0.168,0,10_13,,0.769230769,0.86
39,42,1_6,OK,1.53,166,0.0837,1.8,0.1,0,1_6,,0.166666667,0.0736
40,43,10_19,OK,3.13,170,0.0669,3.42,0.0831,0,10_19,,0.526315789,0.49
41,44,1_9,ERR_TooSlowInstantaneous,0,174,0.0171,4.03,0.0338,0,1_9,,0.111111111,N/A
42,46,291_491,OK,1.52,181,0.0168,1.78,0.0336,0,291_491,,0.592668024,0.576
43,18,10_19,OK,2.13,183,0.119,2.52,0.135,0,10_19,,0.526315789,0.565
44,21,16_25,OK,2.22,186,0.1,2.58,0.117,0,16_25,,0.64,0.647
45,22,7_15,OK,2.33,190,0.101,2.65,0.117,0,7_15,,0.466666667,0.476
46,23,11_12,OK,1.63,194,0.151,1.98,0.168,0,11_12,,0.916666667,0.906
47,44,1_9,OK,2.63,197,0.017,2.8,0.0337,0,1_9,,0.111111111,0.121
48,45,28_109,OK,2.16,200,0.12,2.45,0.135,0,28_109,,0.256880734,0.203
