trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,ERR_FingerLifted,0,11,0.269,2.64,0.285,0:258,0,65321,65321,N/A
2,3,11730,OK,0.883,14.6,0.286,1.42,0.302,0:258,0,11730,11730,7.71e+04
3,4,73954,ERR_FingerLifted,0,22.4,0.201,1.95,0.217,0:258,0,73954,73954,N/A
4,5,92855,ERR_FingerLifted,0,26.2,0.284,2.37,0.3,0:258,0,92855,92855,N/A
5,6,25731,OK,1.06,29.6,0.302,1.67,0.317,0:258,0,25731,25731,8.9e+04
6,7,16542,OK,0.898,32.6,0.27,1.47,0.285,0:258,0,16542,16542,8.9e+04
7,8,37828,OK,1.45,34.9,0.251,2,0.268,0:258,0,37828,37828,8.93e+04
8,9,59374,ERR_StartedSideways,0,38.3,-1,0.204,-1,0:258,0,59374,59374,N/A
9,10,49743,OK,2.02,39.6,0.283,2.6,0.3,0:258,0,49743,49743,7.26e+04
10,11,5882,ERR_TooSlowGlobal,0,43,0.318,1.26,0.334,0:258,0,5882,5882,N/A
11,12,47765,OK,1.65,45.6,0.335,2.29,0.352,0:258,0,47765,47765,7.42e+04
12,13,11328,OK,1.85,48.6,0.52,2.69,0.535,0:258,0,11328,11328,8.56e+04
13,14,83425,ERR_FingerLifted,0,52.1,0.587,2.24,0.602,0:258,0,83425,83425,N/A
14,15,32319,OK,1.18,55.4,0.469,1.95,0.485,0:258,0,32319,32319,8.69e+04
15,16,76921,ERR_FingerLifted,0,58.3,0.685,3.12,0.701,0:258,0,76921,76921,N/A
16,17,25731,ERR_TooSlowInstantaneous,0,62.8,0.318,0.599,0.334,0:258,0,25731,25731,N/A
17,18,65321,ERR_InvalidAngle,0,65.3,0.0838,0.44,0.1,0:258,0,65321,65321,N/A
18,19,16542,OK,0.949,67.6,0.352,1.4,0.369,0:258,0,16542,16542,9.65e+04
19,21,32319,OK,0.749,70.4,0.0181,0.813,0.0339,0:258,0,32319,32319,6.94e+04
20,22,49743,OK,0.932,72,0.285,1.52,0.302,0:258,0,49743,49743,6.57e+04
21,23,47765,ERR_TooSlowInstantaneous,0,74.2,0.418,1.59,0.434,0:258,0,47765,47765,N/A
22,24,11328,OK,3.5,77.7,0.918,4.72,0.935,0:258,0,11328,11328,1.03e+05
23,26,11730,ERR_TooSlowInstantaneous,0,84.2,0.017,2.86,0.0336,0:258,0,11730,11730,N/A
24,27,5882,ERR_TooSlowInstantaneous,0,88.8,0.233,1.23,0.25,0:258,0,5882,5882,N/A
25,29,83425,ERR_TooSlowInstantaneous,0,95.1,0.0161,0.856,0.0336,0:258,0,83425,83425,N/A
26,30,73954,ERR_FingerLifted,0,98.5,0.369,2.02,0.385,0:258,0,73954,73954,N/A
27,31,37828,ERR_TooSlowInstantaneous,0,104,0.285,1.31,0.302,0:258,0,37828,37828,N/A
28,32,49743,ERR_TooSlowInstantaneous,0,106,0.251,0.874,0.267,0:258,0,49743,49743,N/A
29,34,32319,ERR_FingerLifted,0,114,0.0175,1.35,0.0341,0:258,0,32319,32319,N/A
30,35,37828,ERR_TooSlowInstantaneous,0,117,0.217,0.509,0.234,0:258,0,37828,37828,N/A
31,36,25731,ERR_TooSlowGlobal,0,119,0.185,4.56,0.201,0:258,0,25731,25731,N/A
32,37,47765,ERR_FingerLifted,0,125,0.335,3.17,0.352,0:258,0,47765,47765,N/A
33,38,92855,ERR_StartedSideways,0,130,-1,0.305,-1,0:258,0,92855,92855,N/A
34,39,11730,ERR_TooSlowInstantaneous,0,139,0.336,2.33,0.352,0:258,0,11730,11730,N/A
35,40,11328,ERR_TooSlowInstantaneous,0,143,0.302,2.34,0.319,0:258,0,11328,11328,N/A
36,41,65321,ERR_TooSlowInstantaneous,0,160,0.22,1.48,0.235,0:258,0,65321,65321,N/A
37,42,76921,OK,0.897,168,0.352,1.55,0.368,0:258,0,76921,76921,5.58e+04
38,43,5882,OK,1.02,174,0.3,1.65,0.317,0:258,0,5882,5882,6.42e+04
39,44,59374,OK,0.901,177,0.217,1.44,0.233,0:258,0,59374,59374,5.9e+04
40,45,83425,OK,0.899,179,0.351,1.58,0.368,0:258,0,83425,83425,5.85e+04
