trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,4,3,OK,3.98,14.5,1.59,5.89,1.6,0:258,0,3,3,2.78
2,5,4,OK,2.91,30.3,0.666,3.89,0.684,0:258,0,4,4,3.81
3,6,5,OK,1.92,35.9,0.735,2.97,0.751,0:258,0,5,5,4.94
4,9,8,ERR_TooSlowInstantaneous,0,40.3,1.05,4.43,1.07,0:258,0,8,8,N/A
5,3,2,OK,2.11,49,0.718,3.15,0.734,0:258,0,2,2,1.86
6,8,7,OK,1.6,53.8,0.418,2.33,0.435,0:258,0,7,7,7.56
7,9,8,OK,1.37,57.1,0.301,1.97,0.318,0:258,0,8,8,8.64
8,10,9,OK,1.39,60,0.251,1.97,0.267,0:258,0,9,9,9.26
9,2,1,OK,1.75,62.9,0.15,2.22,0.167,0:258,0,1,1,0.722
10,7,6,OK,1.86,80.4,0.12,2.29,0.135,0:258,0,6,6,6.44
11,11,10,OK,1.75,83.7,0.319,2.38,0.335,0:258,0,10,10,9.82
