target,text.target,text.position.x
0.52,0.52,0
0.11,0.11,0
0.08,0.08,0
0.68,0.68,0
0.47,0.47,0
0.61,0.61,0
0.89,0.89,0
0.98,0.98,0
0.17,0.17,0
0.43,0.43,0
0.92,0.92,0
0.03,0.03,0
0.32,0.32,0
0.24,0.24,0
0.56,0.56,0
0.85,0.85,0
0.77,0.77,0
0.73,0.73,0
0.35,0.35,0
0.26,0.26,0
0.98,0.98,0
0.17,0.17,0
0.26,0.26,0
0.73,0.73,0
0.08,0.08,0
0.03,0.03,0
0.35,0.35,0
0.68,0.68,0
0.47,0.47,0
0.32,0.32,0
0.85,0.85,0
0.92,0.92,0
0.56,0.56,0
0.24,0.24,0
0.52,0.52,0
0.43,0.43,0
0.77,0.77,0
0.61,0.61,0
0.89,0.89,0
0.11,0.11,0
0.35,0.35,0
0.77,0.77,0
0.52,0.52,0
0.85,0.85,0
0.73,0.73,0
0.08,0.08,0
0.61,0.61,0
0.17,0.17,0
0.03,0.03,0
0.47,0.47,0
0.32,0.32,0
0.26,0.26,0
0.43,0.43,0
0.68,0.68,0
0.56,0.56,0
0.11,0.11,0
0.92,0.92,0
0.98,0.98,0
0.24,0.24,0
0.89,0.89,0
