target,text.target,text.position.x
0.323,0.323,0
0.739,0.739,0
0.506,0.506,0
0.167,0.167,0
0.111,0.111,0
0.059,0.059,0
0.834,0.834,0
0.769,0.769,0
0.378,0.378,0
0.257,0.257,0
0.117,0.117,0
0.593,0.593,0
0.475,0.475,0
0.653,0.653,0
0.928,0.928,0
0.257,0.257,0
0.475,0.475,0
0.506,0.506,0
0.653,0.653,0
0.593,0.593,0
0.167,0.167,0
0.111,0.111,0
0.834,0.834,0
0.739,0.739,0
0.059,0.059,0
0.378,0.378,0
0.117,0.117,0
0.769,0.769,0
0.928,0.928,0
0.323,0.323,0
0.167,0.167,0
0.111,0.111,0
0.323,0.323,0
0.653,0.653,0
0.769,0.769,0
0.257,0.257,0
0.378,0.378,0
0.593,0.593,0
0.059,0.059,0
0.475,0.475,0
0.739,0.739,0
0.928,0.928,0
0.506,0.506,0
0.834,0.834,0
0.117,0.117,0
