target,genstim.target,genstim.position.x
0.64,16_25,0
0.217,120_553,0
0.256880734,28_109,0
0.8,4_5,0
0.916666667,11_12,0
0.314285714,11_35,0
0.375,3_8,0
0.466666667,7_15,0
0.111111111,1_9,0
0.526315789,10_19,0
0.789,703_891,0
0.058823529,1_17,0
0.592668024,291_491,0
0.769230769,10_13,0
0.166666667,1_6,0
0.111111111,1_9,0
0.526315789,10_19,0
0.769230769,10_13,0
0.256880734,28_109,0
0.64,16_25,0
0.466666667,7_15,0
0.916666667,11_12,0
0.058823529,1_17,0
0.217,120_553,0
0.314285714,11_35,0
0.166666667,1_6,0
0.8,4_5,0
0.375,3_8,0
0.592668024,291_491,0
0.789,703_891,0
0.058823529,1_17,0
0.217,120_553,0
0.466666667,7_15,0
0.64,16_25,0
0.916666667,11_12,0
0.314285714,11_35,0
0.789,703_891,0
0.375,3_8,0
0.8,4_5,0
0.769230769,10_13,0
0.166666667,1_6,0
0.526315789,10_19,0
0.111111111,1_9,0
0.256880734,28_109,0
0.592668024,291_491,0
