target,text.target,text.position.x
9158,"9,158",0
4782,"4,782",0
9845,"9,845",0
1751,"1,751",0
5312,"5,312",0
8074,"8,074",0
7729,"7,729",0
5886,"5,886",0
6401,"6,401",0
992,992,0
8906,"8,906",0
6698,"6,698",0
4115,"4,115",0
3903,"3,903",0
3274,"3,274",0
2894,"2,894",0
374,374,0
1023,"1,023",0
7264,"7,264",0
2148,"2,148",0
3274,"3,274",0
9845,"9,845",0
2148,"2,148",0
1751,"1,751",0
5886,"5,886",0
8074,"8,074",0
1023,"1,023",0
4782,"4,782",0
7729,"7,729",0
6698,"6,698",0
4115,"4,115",0
9158,"9,158",0
992,992,0
5312,"5,312",0
7264,"7,264",0
8906,"8,906",0
3903,"3,903",0
6401,"6,401",0
2894,"2,894",0
374,374,0
7729,"7,729",0
6401,"6,401",0
4115,"4,115",0
3903,"3,903",0
6698,"6,698",0
2148,"2,148",0
992,992,0
9158,"9,158",0
1751,"1,751",0
9845,"9,845",0
8906,"8,906",0
2894,"2,894",0
5312,"5,312",0
7264,"7,264",0
8074,"8,074",0
5886,"5,886",0
3274,"3,274",0
374,374,0
1023,"1,023",0
4782,"4,782",0
