target,text.target,text.position.x
65321,65321,0
11730,11730,0
73954,73954,0
92855,92855,0
25731,25731,0
16542,16542,0
37828,37828,0
59374,59374,0
49743,49743,0
5882,5882,0
47765,47765,0
11328,11328,0
83425,83425,0
32319,32319,0
76921,76921,0
25731,25731,0
65321,65321,0
16542,16542,0
92855,92855,0
32319,32319,0
49743,49743,0
47765,47765,0
11328,11328,0
59374,59374,0
11730,11730,0
5882,5882,0
76921,76921,0
83425,83425,0
73954,73954,0
37828,37828,0
49743,49743,0
16542,16542,0
32319,32319,0
37828,37828,0
25731,25731,0
47765,47765,0
92855,92855,0
11730,11730,0
11328,11328,0
65321,65321,0
76921,76921,0
5882,5882,0
59374,59374,0
83425,83425,0
73954,73954,0
